BX = 000 Event : 1
0x07 0010011|0011000 0x0998
0x08 0011000|0101101 0x0C2D
0x09 0110010|0011000 0x1918
0x0a 0110010|0101101 0x192D
0x0b 0110011|0011000 0x1998
0x0c 0111101|0000110 0x1E86
0x0d 0111101|0000111 0x1E87
0x0e 0111101|0001010 0x1E8A
0x0f 0111101|0011000 0x1E98
0x10 0111110|0000110 0x1F06
0x11 0111110|0000111 0x1F07
0x12 0111110|0001010 0x1F0A
0x13 0111110|0011000 0x1F18
BX = 110 Event : 95
0x00 0001110|0001001 0x0709
0x01 0001111|0001001 0x0789
0x02 0010001|0001001 0x0889
0x03 0011011|0000101 0x0D85
0x04 0011111|0000101 0x0F85
0x05 0100000|0001001 0x1009
BX = 111 Event : 96
0x00 0000110|0011100 0x031C
0x01 0001111|0010011 0x0793
0x02 0010001|0000110 0x0886
0x03 0010010|0000110 0x0906
0x04 0110110|0010011 0x1B13
0x05 0110111|0010011 0x1B93
BX = 000 Event : 97
0x00 0000110|0010110 0x0316
0x01 0000111|0010110 0x0396
0x02 0010010|0101010 0x092A
0x03 0010011|0101010 0x09AA
0x04 0010111|0100011 0x0BA3
0x05 0011000|0100011 0x0C23
0x06 0011100|0001010 0x0E0A
0x07 0011100|0001100 0x0E0C
0x08 0011100|0111000 0x0E38
0x09 0011110|0001010 0x0F0A
0x0a 0011110|0001100 0x0F0C
0x0b 0011110|0111000 0x0F38
0x0c 0011111|0010001 0x0F91
0x0d 0011111|0010110 0x0F96
0x0e 0100100|0001010 0x120A
0x0f 0100100|0001100 0x120C
0x10 0100100|0111000 0x1238
0x11 0101000|0000101 0x1405
0x12 0101010|0011001 0x1519
0x13 0101100|0011001 0x1619
0x14 0101111|1000110 0x17C6
BX = 001 Event : 98
0x00 0010100|0000000 0x0A00
0x01 0010100|0000011 0x0A03
0x02 0010101|0000000 0x0A80
0x03 0010101|0000011 0x0A83
0x04 0010111|0000000 0x0B80
0x05 0010111|0000010 0x0B82
0x06 0010111|0000011 0x0B83
0x07 0011000|0000000 0x0C00
0x08 0011000|0000010 0x0C02
0x09 0011000|0000011 0x0C03
0x0a 0011100|0000111 0x0E07
BX = 010 Event : 99
0x00 0000111|0000001 0x0381
0x01 0000111|0000010 0x0382
0x02 0000111|0000100 0x0384
0x03 0000111|0001011 0x038B
0x04 0001000|0000001 0x0401
0x05 0001000|0000010 0x0402
0x06 0001000|0000100 0x0404
0x07 0001000|0001011 0x040B
0x08 0001001|0000001 0x0481
0x09 0001001|0000010 0x0482
0x0a 0001001|0000100 0x0484
0x0b 0001101|0110011 0x06B3
0x0c 0001101|0110111 0x06B7
0x0d 0010100|0011110 0x0A1E
0x0e 0010101|0011110 0x0A9E
0x0f 0010111|0011110 0x0B9E
0x10 0011000|0011110 0x0C1E
BX = 011 Event : 100
0x00 0001001|0100001 0x04A1
0x01 0001011|0100001 0x05A1
0x02 0110011|0110110 0x19B6
0x03 0110011|0111000 0x19B8
