BX = 000 Event : 1
0x08 0110100|0000010 0x1A02
0x09 0110100|0000100 0x1A04
0x0a 0110100|0000101 0x1A05
0x0b 0110100|0000111 0x1A07
0x0c 0111000|0001011 0x1C0B
0x0d 0111000|0001111 0x1C0F
BX = 110 Event : 23
0x00 0010110|0010010 0x0B12
0x01 0011111|0010010 0x0F92
0x02 0011111|0010011 0x0F93
0x03 0101111|1000001 0x17C1
BX = 111 Event : 24
0x00 0100001|0000110 0x1086
0x01 0100001|0001000 0x1088
0x02 0100001|0001011 0x108B
0x03 0100001|0001100 0x108C
0x04 0100100|0100010 0x1222
0x05 0100100|0100011 0x1223
0x06 0100100|0100100 0x1224
0x07 0100101|0100010 0x12A2
0x08 0100101|0100011 0x12A3
0x09 0100101|0100100 0x12A4
0x0a 0100110|0100010 0x1322
0x0b 0100110|0100011 0x1323
0x0c 0100110|0100100 0x1324
BX = 000 Event : 25
0x00 0000001|0000010 0x0082
0x01 0000010|0001010 0x010A
0x02 0000011|0000010 0x0182
0x03 0000100|0000010 0x0202
0x04 0000101|0001010 0x028A
0x05 0000110|0001010 0x030A
0x06 0001110|0000010 0x0702
0x07 0010101|0001110 0x0A8E
0x08 0011100|0001110 0x0E0E
0x09 1010000|0000010 0x2802
0x0a 1010000|0001010 0x280A
0x0b 1010100|0000010 0x2A02
0x0c 1010100|0001010 0x2A0A
BX = 001 Event : 26
0x00 0011100|1000110 0x0E46
0x01 0100101|1000110 0x12C6
0x02 0100110|0001001 0x1309
0x03 0100110|0101111 0x132F
0x04 0101000|0001001 0x1409
0x05 0101000|0101111 0x142F
0x06 0101001|1000110 0x14C6
0x07 0110111|0011011 0x1B9B
0x08 0111000|0000011 0x1C03
0x09 0111001|0010011 0x1C93
0x0a 0111010|0010011 0x1D13
0x0b 1001001|0001111 0x248F
0x0c 1001001|0010000 0x2490
0x0d 1001001|0010011 0x2493
BX = 010 Event : 27
0x00 0001111|0101110 0x07AE
BX = 011 Event : 28
0x00 0001001|1000011 0x04C3
0x01 0001001|1000100 0x04C4
0x02 0001010|1000011 0x0543
0x03 0001010|1000100 0x0544
0x04 0011010|0101010 0x0D2A
0x05 0011010|0101011 0x0D2B
0x06 0100001|0011100 0x109C
0x07 0100001|0100010 0x10A2
0x08 0100010|0100010 0x1122
0x09 0100010|0100101 0x1125
0x0a 0100010|0101000 0x1128
0x0b 0100011|0011100 0x119C
0x0c 0100011|0100010 0x11A2
0x0d 0100100|0100010 0x1222
0x0e 0100100|0100101 0x1225
0x0f 0111010|1000011 0x1D43
0x10 0111010|1000100 0x1D44
0x11 0111100|1000011 0x1E43
0x12 0111100|1000100 0x1E44
BX = 100 Event : 29
0x00 0110011|0000110 0x1986
0x01 0110101|0000000 0x1A80
0x02 0110110|0000111 0x1B07
0x03 0111000|0011011 0x1C1B
0x04 0111000|0011110 0x1C1E
0x05 0111001|0011011 0x1C9B
0x06 0111001|0011110 0x1C9E
0x07 1000100|0000111 0x2207
0x08 1000100|0001010 0x220A
0x09 1000100|0001011 0x220B
0x0a 1000100|0001100 0x220C
0x0b 1000100|0001101 0x220D
0x0c 1000100|0010000 0x2210
0x0d 1000101|0000111 0x2287
0x0e 1000101|0001010 0x228A
0x0f 1000101|0001011 0x228B
0x10 1000101|0001100 0x228C
0x11 1000101|0001101 0x228D
0x12 1000101|0010000 0x2290
0x13 1000110|0000111 0x2307
0x14 1000110|0001010 0x230A
0x15 1000110|0001011 0x230B
0x16 1000110|0001100 0x230C
0x17 1000110|0001101 0x230D
0x18 1000110|0010000 0x2310
0x19 1000111|0000111 0x2387
0x1a 1000111|0001010 0x238A
0x1b 1000111|0001011 0x238B
0x1c 1000111|0001100 0x238C
0x1d 1000111|0001101 0x238D
0x1e 1000111|0010000 0x2390
BX = 101 Event : 30
0x00 0001001|0000111 0x0487
0x01 0001010|0000111 0x0507
0x02 0011010|0000111 0x0D07
0x03 0101100|0111110 0x163E
0x04 0101110|0111101 0x173D
0x05 0101110|0111110 0x173E
0x06 0101110|0000111 0x1707
0x07 0101111|0111101 0x17BD
0x08 0101111|0000111 0x1787
BX = 110 Event : 31
0x00 1000001|0000101 0x2085
0x01 1000001|0001001 0x2089
BX = 111 Event : 32
0x00 0001000|0000000 0x0400
0x01 0001001|0011010 0x049A
0x02 0010100|1001111 0x0A4F
0x03 0010101|1001010 0x0ACA
0x04 0010101|1001100 0x0ACC
0x05 0010110|1001111 0x0B4F
0x06 0010111|1001111 0x0BCF
0x07 0011000|1001010 0x0C4A
0x08 0011000|1001100 0x0C4C
0x09 0011001|1001111 0x0CCF
BX = 000 Event : 33
0x00 0001101|0110000 0x06B0
0x01 0001110|0001001 0x0709
0x02 0010000|0110000 0x0830
0x03 0010001|0110000 0x08B0
0x04 0010011|0010000 0x0990
0x05 0010100|0010000 0x0A10
0x06 0110001|0101001 0x18A9
0x07 0110001|0110000 0x18B0
BX = 001 Event : 34
0x00 0110001|0011001 0x1899
0x01 0110010|0011001 0x1919
0x02 0110011|0011001 0x1999
0x03 0110100|0011001 0x1A19
0x04 0110101|0001100 0x1A8C
0x05 0110110|0001100 0x1B0C
0x06 0111000|1000100 0x1C44
0x07 1000010|0001100 0x210C
0x08 1000011|0011001 0x2199
0x09 1001100|0001100 0x260C
0x0a 1001101|0001100 0x268C
0x0b 1001101|0001111 0x268F
0x0c 1001110|0111011 0x273B
0x0d 1001110|0111100 0x273C
0x0e 1001110|0111111 0x273F
0x0f 1010001|0001100 0x288C
0x10 1010001|0001111 0x288F
0x11 1100111|0001111 0x338F
0x12 1111111|0001100 0x3F8C
0x13 1111111|0001111 0x3F8F
0x14 1111111|0011001 0x3F99
BX = 010 Event : 35
0x00 0001010|0000011 0x0503
0x01 0001011|0000011 0x0583
0x02 0001100|0000011 0x0603
BX = 011 Event : 36
0x00 0001110|0100111 0x0727
0x01 0100100|0001011 0x120B
0x02 0100100|0001100 0x120C
0x03 0100101|0001011 0x128B
0x04 0100101|0001100 0x128C
BX = 100 Event : 37
0x00 0000011|0011011 0x019B
0x01 0000100|0011011 0x021B
0x02 0000101|0111110 0x02BE
0x03 0010001|0001011 0x088B
0x04 0010001|0001110 0x088E
BX = 101 Event : 38
0x00 0100101|0001110 0x128E
0x01 0100101|0011001 0x1299
BX = 110 Event : 39
BX = 111 Event : 40
0x00 0010111|0010001 0x0B91
0x01 0010111|0010011 0x0B93
0x02 0011010|0001110 0x0D0E
0x03 0100010|0000000 0x1100
BX = 000 Event : 41
0x00 0011101|0000001 0x0E81
0x01 0100100|0000001 0x1201
0x02 0110101|0000111 0x1A87
0x03 1010011|0111010 0x29BA
0x04 1010011|0000001 0x2981
BX = 001 Event : 42
0x00 0001001|0100000 0x04A0
0x01 0010111|0101100 0x0BAC
BX = 010 Event : 43
0x00 0001100|0010001 0x0611
0x01 0001101|0010001 0x0691
0x02 0001110|0010001 0x0711
0x03 0010111|0011110 0x0B9E
BX = 011 Event : 44
0x00 0101110|0000101 0x1705
0x01 0101110|0000111 0x1707
0x02 0101111|0000101 0x1785
0x03 0101111|0000111 0x1787
0x04 0110011|0000000 0x1980
0x05 0110011|0011100 0x199C
0x06 0110011|0101111 0x19AF
0x07 1000011|0010010 0x2192
0x08 1000100|0010010 0x2212
0x09 1000101|0010010 0x2292
BX = 100 Event : 45
0x00 0001111|0001111 0x078F
0x01 0010000|0001111 0x080F
0x02 0010001|0001111 0x088F
BX = 101 Event : 46
0x00 0001110|0000111 0x0707
0x01 0001110|0001010 0x070A
0x02 0001110|0001011 0x070B
0x03 0010100|0001010 0x0A0A
0x04 0010100|0001101 0x0A0D
0x05 0101011|0000111 0x1587
0x06 0101011|0001010 0x158A
0x07 0101011|0001011 0x158B
0x08 0111010|0001010 0x1D0A
0x09 0111010|0001011 0x1D0B
0x0a 1000000|0001011 0x200B
0x0b 1000001|0001011 0x208B
0x0c 1000100|0110101 0x2235
0x0d 1010101|0110101 0x2AB5
0x0e 1010110|0001011 0x2B0B
BX = 110 Event : 47
0x00 0100000|0100100 0x1024
0x01 0100101|0101010 0x12AA
0x02 0100101|0101100 0x12AC
0x03 0100101|0101101 0x12AD
0x04 0100101|0101111 0x12AF
0x05 0100101|0110000 0x12B0
0x06 0100110|0101010 0x132A
0x07 0100110|0101100 0x132C
0x08 0100110|0101101 0x132D
0x09 0100110|0101111 0x132F
0x0a 0100110|0110000 0x1330
0x0b 1000101|1000110 0x22C6
0x0c 1000110|1000110 0x2346
0x0d 1000111|1000110 0x23C6
BX = 111 Event : 48
0x00 0101010|0001000 0x1508
BX = 000 Event : 49
0x00 0000111|0110111 0x03B7
0x01 0000111|0111010 0x03BA
0x02 0001000|0110111 0x0437
0x03 0001000|0111010 0x043A
0x04 0001110|0111010 0x073A
0x05 0001110|0111011 0x073B
0x06 0001111|0111010 0x07BA
0x07 0001111|0111011 0x07BB
0x08 0010000|0110111 0x0837
0x09 0010000|0111010 0x083A
BX = 001 Event : 50
0x00 0011000|0001001 0x0C09
0x01 0011010|0001001 0x0D09
0x02 0110000|0000111 0x1807
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0010110|0000011 0x0B03
0x01 0010110|0000100 0x0B04
0x02 0011011|0010100 0x0D94
0x03 0011011|0011000 0x0D98
BX = 100 Event : 53
0x00 0010011|0010110 0x0996
0x01 0010011|0010111 0x0997
0x02 0010100|0010110 0x0A16
0x03 0010100|0010111 0x0A17
0x04 0011001|0011001 0x0C99
0x05 0011001|0011010 0x0C9A
0x06 0011010|0011001 0x0D19
0x07 0011010|0011010 0x0D1A
0x08 0011101|0000011 0x0E83
0x09 0100001|0010000 0x1090
0x0a 0100001|0010001 0x1091
0x0b 0100001|0010010 0x1092
0x0c 0101000|0011101 0x141D
0x0d 0110111|0000011 0x1B83
0x0e 0110111|0000101 0x1B85
0x0f 0110111|0000110 0x1B86
0x10 0111001|0010000 0x1C90
0x11 0111001|0010001 0x1C91
0x12 0111001|0010110 0x1C96
0x13 0111001|0010111 0x1C97
0x14 0111001|0011001 0x1C99
0x15 0111001|0011010 0x1C9A
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0001000|0001111 0x040F
0x01 0001001|0001111 0x048F
0x02 0001010|0001111 0x050F
0x03 0001011|0001111 0x058F
0x04 0011100|0011100 0x0E1C
0x05 0011100|0011110 0x0E1E
0x06 0011100|0011111 0x0E1F
0x07 0011100|0100001 0x0E21
0x08 0011100|0100010 0x0E22
0x09 0011100|0100011 0x0E23
0x0a 0100110|0001000 0x1308
0x0b 0100110|0001001 0x1309
0x0c 0100110|0001100 0x130C
0x0d 0101111|0001000 0x1788
0x0e 0101111|0001001 0x1789
0x0f 0101111|0001100 0x178C
0x10 0110111|0001111 0x1B8F
0x11 0110111|0010000 0x1B90
0x12 0111000|0001111 0x1C0F
0x13 0111000|0010000 0x1C10
0x14 0111001|0001111 0x1C8F
0x15 0111001|0010000 0x1C90
0x16 0111010|0001111 0x1D0F
0x17 0111010|0010000 0x1D10
BX = 111 Event : 56
0x00 0100000|0010010 0x1012
0x01 0100000|0010100 0x1014
0x02 0100000|0111001 0x1039
0x03 0100010|0010010 0x1112
0x04 0100010|0010100 0x1114
0x05 0100010|0111001 0x1139
BX = 000 Event : 57
0x00 0001100|0001010 0x060A
0x01 0001100|0001011 0x060B
0x02 0001100|0001100 0x060C
0x03 0001100|0001101 0x060D
0x04 0001100|0010001 0x0611
0x05 0001101|0001010 0x068A
0x06 0001101|0001011 0x068B
0x07 0001101|0001100 0x068C
0x08 0001101|0001101 0x068D
0x09 0001101|0010001 0x0691
0x0a 0001111|0101000 0x07A8
0x0b 0011000|0000001 0x0C01
0x0c 0011001|0000001 0x0C81
0x0d 0100110|0000010 0x1302
0x0e 0100110|0000011 0x1303
0x0f 0100110|0100101 0x1325
BX = 001 Event : 58
0x00 0011110|1000100 0x0F44
0x01 0100000|0001001 0x1009
0x02 0100000|0001011 0x100B
BX = 010 Event : 59
0x00 0100110|0000000 0x1300
0x01 0100110|0000001 0x1301
0x02 0110000|0000000 0x1800
0x03 0110000|0000001 0x1801
0x04 0110101|0000000 0x1A80
0x05 0110101|0000001 0x1A81
0x06 1010011|0000000 0x2980
0x07 1010011|0000001 0x2981
0x08 1010011|1000111 0x29C7
BX = 011 Event : 60
0x00 0000100|0000110 0x0206
0x01 0000100|0001001 0x0209
0x02 0000100|0001011 0x020B
0x03 0000100|0001100 0x020C
0x04 0011010|0001100 0x0D0C
BX = 100 Event : 61
BX = 101 Event : 62
0x00 0001001|1000110 0x04C6
BX = 110 Event : 63
0x00 0010111|0011100 0x0B9C
BX = 111 Event : 64
0x00 0000100|0001000 0x0208
0x01 0000100|0001010 0x020A
0x02 0000101|0000111 0x0287
0x03 0000101|0001000 0x0288
0x04 0000101|0001010 0x028A
0x05 0011011|0000111 0x0D87
0x06 0011011|0001000 0x0D88
