  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00                                                                                                           0x2021157F4067
    3390 ns          0       0x01                                                                                                           0x20696EA031A6
    3818 ns          1       0x00                                                                                                           0x20117300B07D
    3822 ns          1       0x01                                                                                                           0x20690E81A011
    4262 ns          2       0x00                                                                                                           0x201A61C081A9
    4266 ns          2       0x01                                                                                                           0x205A61C0F0BD
    5122 ns          4       0x00                                                                                                           0x2022369F6008
    5558 ns          5       0x00                                                                                                           0x20216EE0C1F1
   15046 ns         27       0x00                                                                                                           0x20382AA171A4
   22394 ns         44       0x00                                                                                                           0x2038AF7FB156
   25854 ns         52       0x00                                                                                                           0x20303AC13038
   28010 ns         57       0x00                                                                                                           0x20302B1F91DE
   30190 ns         62       0x00                                                                                                           0x20383ADF7028
   36218 ns         76       0x00                                                                                                           0x2000739F61E0
