  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00                                                                                                  0xA32ECD701FA7F89240000
    3830 ns          1       0x00                                                                                                  0xAE8D8A6C11CC028240000
    4254 ns          2       0x00                                                                                                  0xABE041F6E0FFD9B240000
    5110 ns          4       0x00                                                                                                  0xA51304F54DFFE88209000
    5142 ns          4       0x01                                                                                                  0xAAA687C7BD07F15240000
    5558 ns          5       0x00                                                                                                  0xAB4D87FFBFF005E240000
    8586 ns         12       0x00                                                                                                  0xA53F8F8EEF1404F240000
    9434 ns         14       0x00                                                                                                  0xAACA41626F9C041201000
   12454 ns         21       0x00                                                                                                  0xA4E94F92F00C079240000
   14614 ns         26       0x00                                                                                                  0xAAAC40484F3BEE3240000
   15486 ns         28       0x00                                                                                                  0xA4458F47DF7BD7C240000
   15910 ns         29       0x00                                                                                                  0xA52A0FA7B0C3D14240000
   19370 ns         37       0x00                                                                                                  0xA5700F536FC7E69240000
   19374 ns         37       0x01                                                                                                  0xA51B8F8EC08FE0E240000
   19378 ns         37       0x02                                                                                                  0x8346044A442FFC2240000
   20258 ns         39       0x00                                                                                                  0xA44ACEFBBDCBF4F240000
   21094 ns         41       0x00                                                                                                  0xAAA681590E17FB3201000
   22390 ns         44       0x00                                                                                                  0xA41D84AD9E101C0201000
   22394 ns         44       0x01                                                                                                  0xA3FB0F058F83E4C240000
   24550 ns         49       0x00                                                                                                  0xAAA3804731D3F4E240000
   24554 ns         49       0x01                                                                                                  0xAAA3804732EBF31240000
   25418 ns         51       0x00                                                                                                  0xA5198FACBF1C0DC240000
   25422 ns         51       0x01                                                                                                  0xA5198FACBF380D9240000
   25434 ns         51       0x02                                                                                                  0xA4B64F8A009FDE6240000
   25866 ns         52       0x00                                                                                                  0xA34ACEA122E402C240000
   27594 ns         56       0x00                                                                                                  0xA53F8F8EEF1404F240000
   28006 ns         57       0x00                                                                                                  0xA30FCE756D1C018240000
   29782 ns         61       0x00                                                                                                  0xA5194F4CBF2FDEB240000
   30186 ns         62       0x00                                                                                                  0xA3EA4ED71ED4079240000
   33226 ns         69       0x00                                                                                                  0xA4940F33F1F8281240000
   34058 ns         71       0x00                                                                                                  0xAAC04162216009F201000
   35354 ns         74       0x00                                                                                                  0xA37A848FCF73ECE201000
   35358 ns         74       0x01                                                                                                  0xA37D04913EEFEDD201000
   36214 ns         76       0x00                                                                                                  0xAB67407E2D40250240000
   36218 ns         76       0x01                                                                                                  0xAB66807DBD7C249240000
   36674 ns         77       0x00                                                                                                  0xA5194F4CBF2FDEB240000
   41402 ns         88       0x00                                                                                                  0xA4458F47DF7BD7C240000
   42266 ns         90       0x00                                                                                                  0xAACA41626F9C041201000
   43558 ns         93       0x00                                                                                                  0xAACA404D7258063240000
   46150 ns         99       0x00                                                                                                  0xA3A80EF6ADCBD1B240000
