  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00                                                                                                           0x201105001053
    3390 ns          0       0x01                                                                                                           0x2050A14041D0
    3818 ns          1       0x00                                                                                                           0x200974806050
    3822 ns          1       0x01                                                                                                           0x205001A0F012
    4262 ns          2       0x00                                                                                                           0x200AE0E091C0
    4266 ns          2       0x01                                                                                                           0x204AE0E0E07E
    5122 ns          4       0x00                                                                                                           0x000000000000
    5558 ns          5       0x00                                                                                                           0x000000000000
   15046 ns         27       0x00                                                                                                           0x2018BB00C1CE
   22394 ns         44       0x00                                                                                                           0x000000000000
   25854 ns         52       0x00                                                                                                           0x000000000000
   28010 ns         57       0x00                                                                                                           0x000000000000
   30190 ns         62       0x00                                                                                                           0x000000000000
   36218 ns         76       0x00                                                                                                           0x000000000000
