  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00                                                                                                           0x20313EFD600C
    3830 ns          1       0x00                                                                                                           0x20291F9FD1ED
    4254 ns          2       0x00                                                                                                           0x200A916211FF
    5110 ns          4       0x00                                                                                                           0x2009CF011030
    5142 ns          4       0x01                                                                                                           0x2062369F6030
    5558 ns          5       0x00                                                                                                           0x20216EE0E1ED
    8586 ns         12       0x00                                                                                                           0x20381ABF8001
    9434 ns         14       0x00                                                                                                           0x20089B5ED1D6
   12454 ns         21       0x00                                                                                                           0x20381ABFB022
   14614 ns         26       0x00                                                                                                           0x2000861F8018
   15486 ns         28       0x00                                                                                                           0x20389C3FB1E2
   15910 ns         29       0x00                                                                                                           0x20391DDF21FB
   19370 ns         37       0x00                                                                                                           0x2038E3BF9015
   19374 ns         37       0x01                                                                                                           0x2078CFC131FB
   19378 ns         37       0x02                                                                                                           0x208000000000
   20258 ns         39       0x00                                                                                                           0x203832E0100F
   21094 ns         41       0x00                                                                                                           0x20084B5F800B
   22390 ns         44       0x00                                                                                                           0x200829DFA031
   22394 ns         44       0x01                                                                                                           0x2078AF7F1005
   24550 ns         49       0x00                                                                                                           0x20008FC0F00C
   24554 ns         49       0x01                                                                                                           0x20408FC0F1DF
   25418 ns         51       0x00                                                                                                           0x20381ABFF02D
   25422 ns         51       0x01                                                                                                           0x20781ABFF029
   25434 ns         51       0x02                                                                                                           0x20B84FBD8016
   25866 ns         52       0x00                                                                                                           0x20303ADFF1CF
   27594 ns         56       0x00                                                                                                           0x20380ABF8001
   28006 ns         57       0x00                                                                                                           0x20302B00B005
   29782 ns         61       0x00                                                                                                           0x2038BF7F8013
   30186 ns         62       0x00                                                                                                           0x20383AC0F00D
   33226 ns         69       0x00                                                                                                           0x203862FF51C7
   34058 ns         71       0x00                                                                                                           0x200A805F71C7
   35354 ns         74       0x00                                                                                                           0x20084980102E
   35358 ns         74       0x01                                                                                                           0x2048499FC045
   36214 ns         76       0x00                                                                                                           0x2000739FA024
   36218 ns         76       0x01                                                                                                           0x2040739FB01A
   36674 ns         77       0x00                                                                                                           0x2038BF7F8013
   41402 ns         88       0x00                                                                                                           0x2038DC3FB1E2
   42266 ns         90       0x00                                                                                                           0x20089B5ED1D6
   43558 ns         93       0x00                                                                                                           0x20004EDF41EF
   46150 ns         99       0x00                                                                                                           0x2038404011FF
