  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00                                                                                                           0x20191C1EE007
    3830 ns          1       0x00                                                                                                           0x20127BDFF1F5
    4254 ns          2       0x00                                                                                                           0x2001E2A0D1FE
    5110 ns          4       0x00                                                                                                           0x000000000000
    5142 ns          4       0x01                                                                                                           0x205341A03020
    5558 ns          5       0x00                                                                                                           0x2011AB4051F5
    8586 ns         12       0x00                                                                                                           0x2019A0005001
    9434 ns         14       0x00                                                                                                           0x000000000000
   12454 ns         21       0x00                                                                                                           0x2019211F900F
   14614 ns         26       0x00                                                                                                           0x2001BB5FA010
   15486 ns         28       0x00                                                                                                           0x2019A19FE1F2
   15910 ns         29       0x00                                                                                                           0x2019BF5F71FD
   19370 ns         37       0x00                                                                                                           0x2019A55FA00A
   19374 ns         37       0x01                                                                                                           0x2059C5E001FD
   19378 ns         37       0x02                                                                                                           0x208000000000
   20258 ns         39       0x00                                                                                                           0x201980200008
   21094 ns         41       0x00                                                                                                           0x000000000000
   22390 ns         44       0x00                                                                                                           0x000000000000
   22394 ns         44       0x01                                                                                                           0x2059415F9002
   24550 ns         49       0x00                                                                                                           0x20013B40500F
   24554 ns         49       0x01                                                                                                           0x20413B4051ED
   25418 ns         51       0x00                                                                                                           0x2018AFE07017
   25422 ns         51       0x01                                                                                                           0x2058AFE07014
   25434 ns         51       0x02                                                                                                           0x2099C3DF100A
   25866 ns         52       0x00                                                                                                           0x2019302071E9
   27594 ns         56       0x00                                                                                                           0x2019B0005001
   28006 ns         57       0x00                                                                                                           0x201951204001
   29782 ns         61       0x00                                                                                                           0x201A43FF5008
   30186 ns         62       0x00                                                                                                           0x20196020B006
   33226 ns         69       0x00                                                                                                           0x2018EF1FE1DD
   34058 ns         71       0x00                                                                                                           0x000000000000
   35354 ns         74       0x00                                                                                                           0x000000000000
   35358 ns         74       0x01                                                                                                           0x000000000000
   36214 ns         76       0x00                                                                                                           0x200034400014
   36218 ns         76       0x01                                                                                                           0x20405F00000E
   36674 ns         77       0x00                                                                                                           0x201A53FF5008
   41402 ns         88       0x00                                                                                                           0x2019D19FE1F2
   42266 ns         90       0x00                                                                                                           0x000000000000
   43558 ns         93       0x00                                                                                                           0x20017B4071F6
   46150 ns         99       0x00                                                                                                           0x201953E00000
