  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00                                                                                                           0x000000000000
    3830 ns          1       0x00                                                                                                           0x000000000000
    4254 ns          2       0x00                                                                                                           0x000000000000
    5110 ns          4       0x00                                                                                                           0x20008CFFA5FF
    5142 ns          4       0x01                                                                                                           0x000000000000
    5558 ns          5       0x00                                                                                                           0x000000000000
    8586 ns         12       0x00                                                                                                           0x000000000000
    9434 ns         14       0x00                                                                                                           0x000000000000
   12454 ns         21       0x00                                                                                                           0x000000000000
   14614 ns         26       0x00                                                                                                           0x000000000000
   15486 ns         28       0x00                                                                                                           0x000000000000
   15910 ns         29       0x00                                                                                                           0x000000000000
   19370 ns         37       0x00                                                                                                           0x000000000000
   19374 ns         37       0x01                                                                                                           0x000000000000
   19378 ns         37       0x02                                                                                                           0x000000000000
   20258 ns         39       0x00                                                                                                           0x000000000000
   21094 ns         41       0x00                                                                                                           0x000000000000
   22390 ns         44       0x00                                                                                                           0x000000000000
   22394 ns         44       0x01                                                                                                           0x000000000000
   24550 ns         49       0x00                                                                                                           0x000000000000
   24554 ns         49       0x01                                                                                                           0x000000000000
   25418 ns         51       0x00                                                                                                           0x000000000000
   25422 ns         51       0x01                                                                                                           0x000000000000
   25434 ns         51       0x02                                                                                                           0x000000000000
   25866 ns         52       0x00                                                                                                           0x000000000000
   27594 ns         56       0x00                                                                                                           0x000000000000
   28006 ns         57       0x00                                                                                                           0x000000000000
   29782 ns         61       0x00                                                                                                           0x000000000000
   30186 ns         62       0x00                                                                                                           0x000000000000
   33226 ns         69       0x00                                                                                                           0x000000000000
   34058 ns         71       0x00                                                                                                           0x000000000000
   35354 ns         74       0x00                                                                                                           0x000000000000
   35358 ns         74       0x01                                                                                                           0x000000000000
   36214 ns         76       0x00                                                                                                           0x000000000000
   36218 ns         76       0x01                                                                                                           0x000000000000
   36674 ns         77       0x00                                                                                                           0x000000000000
   41402 ns         88       0x00                                                                                                           0x000000000000
   42266 ns         90       0x00                                                                                                           0x000000000000
   43558 ns         93       0x00                                                                                                           0x000000000000
   46150 ns         99       0x00                                                                                                           0x000000000000
