  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00   0xA32ECD701FA7F892400000000000000000000000000081270C0D77FC000000000000000000000000000000000000000000000000000000000000
    3830 ns          1       0x00   0xAE8D8A6C11CC02824000000000000000000000000000000000000002010831D0DFE0000000000000000000000000000000000000000000000000
    4254 ns          2       0x00   0xABE041F6E0FFD9B240000804B7203801000000000000000000000000000000000000000000000000000000000000000000000000000000000000
    5110 ns          4       0x00   0xA51304F54DFFE88209000000000000000000000000008002338C500A001C3A3DE000000000000000000000000000000000000000000000000000
    5142 ns          4       0x01   0xAAA687C7BD07F1524000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
    5558 ns          5       0x00   0xAB4D87FFBFF005E24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
    8586 ns         12       0x00   0xA53F8F8EEF1404F24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
    9434 ns         14       0x00   0xAACA41626F9C04120100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   12454 ns         21       0x00   0xA4E94F92F00C07924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   14614 ns         26       0x00   0xAAAC40484F3BEE3240000000000000000000000000000000000000020001C6375FF0000000000000000000000000000000000000000000000000
   15486 ns         28       0x00   0xA4458F47DF7BD7C24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   15910 ns         29       0x00   0xA52A0FA7B0C3D1424000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   19370 ns         37       0x00   0xA5700F536FC7E6924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   19374 ns         37       0x01   0xA51B8F8EC08FE0E24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   19378 ns         37       0x02   0x8346044A442FFC224000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   20258 ns         39       0x00   0xA44ACEFBBDCBF4F24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   21094 ns         41       0x00   0xAAA681590E17FB3201000000000000000000000000000000000000020096C5BE0030000000000000000000000000000000000000000000000000
   22390 ns         44       0x00   0xA41D84AD9E101C0201000000000000000000000000000000000000020001CFDEA000000000000000000000000000000000000000000000000000
   22394 ns         44       0x01   0xA3FB0F058F83E4C240000000000000000000000000000000000000020001CFC26010000000000000000000000000000000000000000000000000
   24550 ns         49       0x00   0xAAA3804731D3F4E24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   24554 ns         49       0x01   0xAAA3804732EBF3124000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   25418 ns         51       0x00   0xA5198FACBF1C0DC24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   25422 ns         51       0x01   0xA5198FACBF380D924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   25434 ns         51       0x02   0xA4B64F8A009FDE624000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   25866 ns         52       0x00   0xA34ACEA122E402C24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   27594 ns         56       0x00   0xA53F8F8EEF1404F24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   28006 ns         57       0x00   0xA30FCE756D1C01824000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   29782 ns         61       0x00   0xA5194F4CBF2FDEB24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   30186 ns         62       0x00   0xA3EA4ED71ED407924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   33226 ns         69       0x00   0xA4940F33F1F828124000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   34058 ns         71       0x00   0xAAC04162216009F201000000000000000000000000000000000000020000C405FFF0000000000000000000000000000000000000000000000000
   35354 ns         74       0x00   0xA37A848FCF73ECE201000000000000000000000000000000000000020009CE080030000000000000000000000000000000000000000000000000
   35358 ns         74       0x01   0xA37D04913EEFEDD201000000000000000000000000000000000000020009CE318010000000000000000000000000000000000000000000000000
   36214 ns         76       0x00   0xAB67407E2D4025024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   36218 ns         76       0x01   0xAB66807DBD7C24924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   36674 ns         77       0x00   0xA5194F4CBF2FDEB24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   41402 ns         88       0x00   0xA4458F47DF7BD7C24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   42266 ns         90       0x00   0xAACA41626F9C04120100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   43558 ns         93       0x00   0xAACA404D725806324000000000000000000000000000000000000002018831ECBFF0000000000000000000000000000000000000000000000000
   46150 ns         99       0x00   0xA3A80EF6ADCBD1B2400000000000000000000000000000000000000200B1C5E11FD0000000000000000000000000000000000000000000000000
