BX 000 Event : 1
01|0000001|1011100|00101100100111|1010|1011 0x10370B27AB
01|0000001|1011100|01110011011110|1111|1001 0x10371CDEF9
01|0000001|1011100|01100111000101|1001|1011 0x103719C59B
01|0000010|0001110|00010011110000|1110|0010 0x104384F0E2
01|0000110|0001110|00001100000000|1100|1001 0x10C38300C9
01|0000110|0001110|00111001001000|1101|1011 0x10C38E48DB
01|0000110|0001110|01101011111011|0001|0001 0x10C39AFB11
00|0011110|00000011|00011011100100001|0000 0x03C0637210
00|0011101|00011110|00100001101000110|1110 0x03A3C4346E
00|1100011|00010011|01011011100110001|0010 0x0C626B7312
BX 001 Event : 2
01|0000000|1110010|00011010100100|0000|1000 0x101C86A408
01|0000001|1011100|01000011110000|0100|0001 0x103710F041
01|0000000|1011100|00101001001001|1001|1001 0x10170A4999
01|0000001|1110010|01010100000010|1111|0011 0x103C9502F3
01|0000001|1011100|01111001110101|0001|1011 0x10371E751B
01|0000001|1011100|01101110011111|1101|1010 0x10371B9FDA
01|0000011|0100100|00000101111001|0100|1010 0x106901794A
01|0000010|0001110|00100001100111|0100|1011 0x104388674B
01|0000011|0100100|00101100111000|1100|0010 0x10690B38C2
01|0000011|0100100|00101110100000|1101|1001 0x10690BA0D9
01|0000011|0100100|01000001011111|0110|1000 0x1069105F68
01|0000010|0100100|00111001010100|0010|1010 0x10490E542A
01|0000011|0001110|01000111111101|1011|1000 0x106391FDB8
01|0000010|0100100|01100110111100|1101|0011 0x104919BCD3
01|0000100|1011100|00001001101000|1001|0000 0x1097026890
01|0000101|1110010|01011100101000|1111|1010 0x10BC9728FA
01|0000101|1011100|01111100101010|0011|1010 0x10B71F2A3A
01|0001000|1011100|01000110010011|1010|1010 0x11171193AA
00|0011010|00010011|00101111010010010|1001 0x034265E929
00|0011110|00011000|00011110010001101|0010 0x03C303C8D2
00|0011110|00011000|00011110011111101|0010 0x03C303CFD2
00|0011101|00011000|00100001101110100|0101 0x03A3043745
00|0011110|00011110|00011101111110100|0010 0x03C3C3BF42
00|0011101|00011110|00100001101010101|0011 0x03A3C43553
00|0011101|00011110|00101010001100000|0001 0x03A3C54601
00|0011101|00011110|00101010010011101|1100 0x03A3C549DC
00|0011000|00100011|00101001110000100|0100 0x0304653844
00|0011000|00100011|00100011001010001|1011 0x030464651B
00|0011000|00100011|00100010100101101|1100 0x03046452DC
00|0011001|00100011|00011100010111101|0010 0x0324638BD2
00|0011000|00101000|00101000111001100|0110 0x0305051CC6
00|0011000|00101000|00100011011000110|1101 0x0305046C6D
00|0011110|00101101|00011110011110011|1000 0x03C5A3CF38
00|0011101|00101101|00100111001000101|1001 0x03A5A4E459
00|0011101|00101101|00100111110010110|1110 0x03A5A4F96E
00|0011110|01000010|00011101111000001|0001 0x03C843BC11
00|0011001|01010010|00011100010000101|0011 0x032A438853
00|0011000|01111011|00100110111010001|1000 0x030F64DD18
00|1100010|00101000|01100100110110110|1010 0x0C450C9B6A
00|1100111|01101100|01101000001011001|1010 0x0CED8D059A
BX 010 Event : 3
01|0000000|1011100|00111000101110|0000|0010 0x10170E2E02
01|0000000|1011100|00110111010100|1111|0011 0x10170DD4F3
01|0000010|0100100|00111110101000|0100|0000 0x10490FA840
01|0000011|0001110|01010000100001|0000|1010 0x106394210A
01|0000011|0100100|01101111111111|0001|1010 0x10691BFF1A
01|0000010|0100100|01110010110111|0010|1010 0x10491CB72A
01|0000010|0100100|01111011100101|0111|0001 0x10491EE571
01|0000010|0001110|01111011001110|1001|0001 0x10439ECE91
01|0000100|1011100|00100011010111|0111|1001 0x109708D779
01|0000111|0001110|00001101111000|1101|0001 0x10E38378D1
01|0000111|0001110|01001001110100|0111|1001 0x10E3927479
01|0000111|0100100|01001001011111|1001|0010 0x10E9125F92
01|0000111|0100100|01001001100100|1001|1000 0x10E9126498
01|0001000|1011100|01110101011000|1110|1011 0x11171D58EB
00|0011000|00001101|00100111010011110|1101 0x0301A4E9ED
