BX 000 Event : 1
01|0000001|0001110|01010001011010|1101|0010 0x1023945AD2
01|0000010|1110010|00100010101100|0100|1000 0x105C88AC48
01|0000011|1110010|01001001111010|1100|1001 0x107C927AC9
01|0000101|0001110|00000010000100|0010|1001 0x10A3808429
01|0000100|0001110|00101010000010|1110|1010 0x10838A82EA
01|0000100|0100100|01001011000011|0010|1011 0x108912C32B
01|0000101|0100100|01110101010010|1111|0001 0x10A91D52F1
01|0000111|1110010|00001111011011|1110|0011 0x10FC83DBE3
01|0000110|1011100|01110110101100|1010|0010 0x10D71DACA2
01|0001001|0100100|01010110111010|0101|0100 0x112915BA54
01|0001000|0100100|01001111100010|0000|0011 0x110913E203
01|0001000|0100100|01011001000001|0110|0001 0x1109164161
01|0001000|0001110|01011100101101|1011|0011 0x1103972DB3
01|0001000|0001110|01011100011100|1011|1001 0x1103971CB9
01|0001000|0100100|01110000110011|1011|1001 0x11091C33B9
01|0001000|0100100|01111110001011|0011|1100 0x11091F8B3C
00|0011001|10101010|00011110001110000|1101 0x033543C70D
00|1100111|11101110|01100100000001001|1101 0x0CFDCC809D
BX 001 Event : 2
01|0000001|0001110|00011010001011|0000|0011 0x1023868B03
01|0000000|0001110|00101011000100|0111|1000 0x10038AC478
01|0000000|0001110|00101010111101|0111|0010 0x10038ABD72
01|0000000|0001110|00101010011110|0110|0011 0x10038A9E63
01|0000000|0100100|00111110110010|0010|1010 0x10090FB22A
01|0000011|1011100|00000110111000|0101|1000 0x107701B858
01|0000010|1110010|01001101000001|1110|0001 0x105C9341E1
01|0000010|1110010|01011110000011|0110|0001 0x105C978361
01|0000101|0001110|00110010000110|0010|1010 0x10A38C862A
01|0000100|0001110|00111000010100|0101|1011 0x10838E145B
01|0000100|0100100|01001110110110|0100|0010 0x108913B642
01|0000110|1011100|00000101110011|0101|0001 0x10D7017351
01|0000110|1011100|00101110001100|0011|1001 0x10D70B8C39
01|0000110|1011100|00100101010010|1110|1011 0x10D70952EB
01|0000110|1011100|00100011000011|1101|1001 0x10D708C3D9
01|0000110|1110010|00110010110110|1001|0100 0x10DC8CB694
01|0000110|1110010|01110100000000|0110|1000 0x10DC9D0068
01|0000110|1110010|01110101011101|0111|1010 0x10DC9D5D7A
01|0000110|1011100|01111010111011|1101|1000 0x10D71EBBD8
01|0000110|1011100|01110100111000|1001|1011 0x10D71D389B
01|0000110|1011100|01110100110100|1001|1001 0x10D71D3499
01|0001001|0001110|00110100101000|1100|0000 0x11238D28C0
01|0001001|0100100|01010110110111|0101|1100 0x112915B75C
01|0001000|0001110|01101011101101|0101|1011 0x11039AED5B
01|0001001|0100100|01111110100011|0100|1010 0x11291FA34A
00|0011001|11001110|00101011010000100|1101 0x0339C5684D
00|0011101|11101110|00101011101010100|1011 0x03BDC5754B
00|0011001|11111110|00101100111100101|1100 0x033FC59E5C
BX 010 Event : 3
01|0000000|0100100|01000000111010|0011|1000 0x1009103A38
01|0000001|0001110|01011001001001|0000|0001 0x1023964901
01|0000001|0100100|01101110111101|1101|0010 0x10291BBDD2
01|0000000|0100100|01100111111011|1010|0001 0x100919FBA1
01|0000011|1110010|00001100110100|1001|0000 0x107C833490
01|0000011|1110010|00011001000000|0000|0000 0x107C864000
01|0000010|1011100|01110000000001|0001|0001 0x10571C0111
01|0000101|0001110|01100101000011|0011|0011 0x10A3994333
01|0000110|1110010|00011110010101|0111|1011 0x10DC87957B
01|0000111|1011100|00101110111100|0100|1010 0x10F70BBC4A
01|0000111|1011100|00011101101101|1001|1011 0x10F7076D9B
01|0001001|0001110|00010000111101|0000|0011 0x1123843D03
01|0001001|0001110|00111001001111|1111|0010 0x11238E4FF2
01|0001000|0100100|01111010111110|0001|0100 0x11091EBE14
00|1101000|10000101|01010111100001110|0101 0x0D10AAF0E5
00|1100100|10111111|01111111110011010|1100 0x0C97EFF9AC
BX 011 Event : 4
01|0000000|0001110|00011001001000|1111|0100 0x10038648F4
01|0000001|0001110|01011111011001|0011|1000 0x102397D938
01|0000000|0001110|01010111110110|0000|0011 0x100395F603
01|0000000|0100100|01101010111100|1011|0000 0x10091ABCB0
01|0000000|0100100|01110000101100|1110|1011 0x10091C2CEB
01|0000010|1110010|00011000001000|0000|1000 0x105C860808
01|0000010|1110010|01011101111100|0110|1010 0x105C977C6A
01|0000010|1011100|01111001101110|0110|1001 0x10571E6E69
01|0000010|1011100|01100100101101|1100|0000 0x1057192DC0
01|0000100|0100100|00010000001011|1101|0011 0x1089040BD3
01|0000101|0100100|01111111011011|0100|1001 0x10A91FDB49
01|0000111|1011100|00000000001101|0010|0011 0x10F7000D23
01|0000110|1011100|01011000101100|0010|0011 0x10D7162C23
01|0000110|1011100|01111001010001|1100|0010 0x10D71E51C2
01|0001000|0100100|01001001110001|1100|1000 0x11091271C8
00|0011001|11001110|00101101000111100|1110 0x0339C5A3CE
