BX 000 Event : 1
01|0000000|0100100|10000110110010|0111|1011 0x100921B27B
01|0000001|0001110|10000111110111|1011|1010 0x1023A1F7BA
01|0000011|1110010|10001011001101|0001|1010 0x107CA2CD1A
01|0000011|1011100|10101010111101|0011|1001 0x10772ABD39
01|0000011|1110010|11000100000000|0001|0000 0x107CB10010
01|0000010|1110010|10110110001101|1011|0011 0x105CAD8DB3
01|0000010|1110010|11000000111010|0000|0001 0x105CB03A01
01|0000010|1011100|11011111111010|0001|1000 0x105737FA18
01|0000011|1110010|11101111010001|1011|0010 0x107CBBD1B2
01|0000101|0001110|10111011010111|1101|1010 0x10A3AED7DA
01|0000101|0001110|11111110100000|0111|0000 0x10A3BFA070
01|0000101|0001110|11111011111101|0110|1010 0x10A3BEFD6A
01|0001000|0100100|11000101010111|1100|0010 0x11093157C2
01|0001001|0100100|11111110010001|0111|1001 0x11293F9179
00|1101000|10011010|10010010000000110|0100 0x0D13524064
00|1100111|10011111|10001010000101000|1001 0x0CF3F14289
00|1101000|10101110|10010010110001010|0101 0x0D15D258A5
00|1100111|11011000|10001110011000111|1100 0x0CFB11CC7C
00|1100100|11100011|10000000100001011|0110 0x0C9C7010B6
00|1100011|11111000|10000101010111011|1010 0x0C7F10ABBA
00|1100011|11111000|11011111101001010|0001 0x0C7F1BF4A1
BX 001 Event : 2
01|0000001|0100100|10000101011000|0111|1010 0x102921587A
01|0000000|0001110|10011111011000|0101|0000 0x1003A7D850
01|0000000|0100100|10101110000101|1111|1010 0x10092B85FA
01|0000000|0100100|10111111110111|0110|1000 0x10092FF768
01|0000001|0001110|11001101011111|1111|0011 0x1023B35FF3
01|0000001|0001110|11000101110100|1011|0010 0x1023B174B2
01|0000011|1110010|10001110011101|0010|0000 0x107CA39D20
01|0000011|1110010|10010100011101|0110|0011 0x107CA51D63
01|0000011|1011100|10110000011111|0110|1001 0x10772C1F69
01|0000010|1011100|10100101011111|0000|0000 0x1057295F00
01|0000010|1011100|10011110100110|1101|1010 0x105727A6DA
01|0000010|1011100|10011100110111|1100|1011 0x10572737CB
01|0000011|1110010|10111001111001|1100|0010 0x107CAE79C2
01|0000011|1110010|11000110001100|0010|1010 0x107CB18C2A
01|0000010|1110010|10110111110101|1011|1010 0x105CADF5BA
01|0000010|1110010|11110001010001|1100|1001 0x105CBC51C9
01|0000100|0001110|10001100110000|1110|0011 0x1083A330E3
01|0000101|0001110|11001011010011|0110|1010 0x10A3B2D36A
01|0000100|0001110|11000110100100|0011|1001 0x1083B1A439
01|0000100|0001110|10111111010001|1111|0010 0x1083AFD1F2
