BX = 000 Event : 1
BX = 101 Event : 46
0x00 0001101|0011101 0x069D
0x01 0001101|0100000 0x06A0
0x02 0100101|0000011 0x1283
0x03 0100110|0000011 0x1303
0x04 0101100|0001100 0x160C
0x05 0101100|0010010 0x1612
0x06 0101100|0010011 0x1613
BX = 110 Event : 47
0x00 0000100|0011000 0x0218
0x01 0000100|0011101 0x021D
0x02 0000101|0011101 0x029D
0x03 0000101|0011110 0x029E
BX = 111 Event : 48
0x00 0000011|0011101 0x019D
0x01 0010000|0100100 0x0824
0x02 0010000|0100101 0x0825
0x03 0110000|0110111 0x1837
BX = 000 Event : 49
0x00 0000100|0010111 0x0217
0x01 0000101|0010111 0x0297
0x02 0000110|0010111 0x0317
0x03 0000110|0011111 0x031F
BX = 001 Event : 50
0x00 0010100|0001111 0x0A0F
0x01 0011111|0100111 0x0FA7
BX = 010 Event : 51
0x00 0010110|0000110 0x0B06
0x01 0010111|0000110 0x0B86
BX = 011 Event : 52
0x00 0001111|0000001 0x0781
0x01 0010111|0000001 0x0B81
0x02 0110011|0110101 0x19B5
BX = 100 Event : 53
0x00 0000011|0010010 0x0192
0x01 0001010|0010010 0x0512
0x02 0001011|0010010 0x0592
0x03 0001110|0010010 0x0712
0x04 0010010|0011111 0x091F
0x05 0100011|0000001 0x1181
0x06 0100100|0000001 0x1201
BX = 101 Event : 54
0x00 0001100|0010001 0x0611
BX = 110 Event : 55
0x00 0011000|0011101 0x0C1D
0x01 0011011|0011101 0x0D9D
BX = 111 Event : 56
0x00 0100001|0110110 0x10B6
0x01 0110000|0000001 0x1801
BX = 000 Event : 57
0x00 0000011|0010000 0x0190
0x01 0010001|0000001 0x0881
0x02 0010001|0000101 0x0885
0x03 0010001|0000110 0x0886
0x04 0010001|0000111 0x0887
0x05 0010011|0000001 0x0981
0x06 0010011|0000101 0x0985
0x07 0010011|0000110 0x0986
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0100011|0100110 0x11A6
BX = 011 Event : 60
0x00 0010001|0010110 0x0896
0x01 0100011|0000011 0x1183
0x02 0100101|0000010 0x1282
0x03 0110010|0011101 0x191D
0x04 0110010|0100000 0x1920
BX = 100 Event : 61
0x00 0000001|0011011 0x009B
0x01 0000010|0011011 0x011B
0x02 0010111|0001011 0x0B8B
BX = 101 Event : 62
0x00 0000100|0100000 0x0220
0x01 0010011|0010100 0x0994
BX = 110 Event : 63
0x00 0011101|0000111 0x0E87
0x01 0011101|0001011 0x0E8B
BX = 111 Event : 64
0x00 0000011|0010000 0x0190
0x01 0010111|0001000 0x0B88
0x02 0101110|0000010 0x1702
0x03 0101110|0000011 0x1703
0x04 0101110|0100111 0x1727
BX = 000 Event : 65
0x00 0000000|0000111 0x0007
0x01 0001011|0000011 0x0583
0x02 0001101|0000011 0x0683
0x03 0011000|0000001 0x0C01
BX = 001 Event : 66
0x00 0001001|0010001 0x0491
0x01 0001010|0010001 0x0511
0x02 0011010|0000001 0x0D01
0x03 0011010|0000010 0x0D02
BX = 010 Event : 67
0x00 0101010|0100110 0x1526
0x01 0101010|0101000 0x1528
0x02 0101111|0101110 0x17AE
0x03 0101111|0101111 0x17AF
0x04 0110000|0110010 0x1832
BX = 011 Event : 68
0x00 0000110|0010000 0x0310
0x01 0000110|0010001 0x0311
0x02 0000110|0010101 0x0315
0x03 0000110|0011000 0x0318
0x04 0011100|0001001 0x0E09
0x05 0101011|1000001 0x15C1
BX = 100 Event : 69
0x00 0000111|0101010 0x03AA
0x01 0101100|0111010 0x163A
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0000000|0001001 0x0009
BX = 111 Event : 72
0x00 0001000|0010111 0x0417
0x01 0001000|0011010 0x041A
0x02 0001001|0010111 0x0497
0x03 0001001|0011010 0x049A
0x04 0011011|0000111 0x0D87
