Event : 0
32 48 64 96 40 33 37  
48 72 40 96 40 41 33  
32 80 56 80 38 42 34  
16 40 16 96 42 46 29  
32 48 32 96 42 35 22  
32 24 40 80 39 32 25  
32 40 48 96 39 41 32  
32 40 56 96 42 33 37  
32 72 40 96 36 35 34  
16 32 64 96 42 34 33  
16 24 48 96 39 34 33  
32 24 40 96 42 35 34  
32 32 40 80 37 35 33  
80 56 56 96 39 32 30  
32 32 16 96 40 34 29  
64 32 24 96 36 35 33  
32 72 48 96 35 32 33  
16 24 32 80 42 36 33  
32 16 32 64 41 51 26  
32 80 32 80 39 48 32  
32 64 24 80 35 54 35  
32 40 32 96 37 54 29  
32 64 32 96 37 51 30  
32 16 40 80 38 34 33  
16 80 64 64 42 44 41  
16 24 32 80 42 36 33  
32 64 32 96 41 39 28  
16 48 40 80 42 37 33  
16 24 48 96 37 35 33  
Event : 1
32 24 24 96 38 36 32  
32 16 40 96 42 34 36  
32 32 64 96 39 36 31  
32 24 32 96 40 32 31  
32 72 40 80 38 39 27  
32 16 32 80 40 37 23  
32 32 48 96 37 32 31  
32 40 48 96 37 36 36  
32 56 48 96 41 33 25  
16 40 48 96 41 41 29  
32 32 40 96 37 42 36  
16 24 64 80 42 37 38  
64 32 56 80 40 36 29  
32 16 32 80 40 39 33  
32 32 48 96 39 32 32  
32 72 56 96 41 49 38  
32 32 56 96 40 50 40  
48 32 32 80 40 46 37  
48 56 32 80 40 42 32  
32 24 56 96 36 34 32  
48 48 32 96 39 40 36  
16 40 48 96 38 34 40  
16 72 48 96 40 38 33  
16 8 48 96 41 32 36  
32 48 56 96 41 32 36  
16 16 8 96 42 32 24  
32 32 48 80 39 34 32  
64 40 48 96 42 53 30  
32 56 48 96 39 49 29  
Event : 2
32 24 48 96 42 39 35  
32 24 56 96 40 35 38  
32 48 48 96 42 33 25  
80 72 48 96 41 45 42  
32 40 32 96 41 46 28  
48 40 40 96 41 33 27  
64 48 24 96 39 39 31  
32 24 56 80 42 39 29  
32 56 40 96 41 36 18  
32 64 56 80 40 38 42  
32 32 32 64 42 40 42  
