BX = 000 Event : 1
0x17 1000001|1000110 0x20C6
0x18 1000001|0000101 0x2085
BX = 111 Event : 24
BX = 000 Event : 25
0x00 0010110|0000010 0x0B02
0x01 0010110|0001001 0x0B09
0x02 1010101|0000010 0x2A82
0x03 1010101|0001001 0x2A89
BX = 001 Event : 26
0x00 0010111|1000000 0x0BC0
0x01 0101010|0000010 0x1502
0x02 0101011|1000101 0x15C5
0x03 0101011|1000110 0x15C6
0x04 0101100|0000010 0x1602
0x05 0101101|0000010 0x1682
BX = 010 Event : 27
BX = 011 Event : 28
0x00 0001111|0000010 0x0782
0x01 0001111|0001000 0x0788
0x02 0010000|0000010 0x0802
0x03 0010000|0001000 0x0808
0x04 0011011|0101100 0x0DAC
0x05 0011011|0101111 0x0DAF
0x06 0011100|0011110 0x0E1E
0x07 0101000|0100101 0x1425
0x08 0111011|0000010 0x1D82
0x09 0111011|0001000 0x1D88
BX = 100 Event : 29
0x00 0110001|0000011 0x1883
0x01 0110010|0000001 0x1901
0x02 0110010|0000011 0x1903
0x03 0110100|0000011 0x1A03
0x04 0110100|0000110 0x1A06
0x05 0111010|0011000 0x1D18
0x06 0111100|0011000 0x1E18
0x07 0111101|0011000 0x1E98
0x08 1000010|0001000 0x2108
0x09 1000010|0001001 0x2109
0x0a 1000010|0001110 0x210E
0x0b 1000010|0001111 0x210F
0x0c 1000011|0001000 0x2188
0x0d 1000011|0001001 0x2189
0x0e 1000011|0001110 0x218E
0x0f 1000011|0001111 0x218F
BX = 101 Event : 30
0x00 0001011|0001001 0x0589
0x01 0001011|0001010 0x058A
0x02 0001100|0001001 0x0609
0x03 0001100|0001010 0x060A
BX = 110 Event : 31
0x00 0010000|0011110 0x081E
0x01 0010000|0011111 0x081F
0x02 0010010|0011110 0x091E
0x03 0010010|0011111 0x091F
0x04 0011001|0011110 0x0C9E
0x05 0011001|0011111 0x0C9F
0x06 0100010|0100011 0x1123
0x07 1000000|0100011 0x2023
0x08 1001001|0000010 0x2482
0x09 1001001|0000101 0x2485
BX = 111 Event : 32
0x00 0001011|1001010 0x05CA
0x01 0001011|1001100 0x05CC
0x02 0001100|1001100 0x064C
0x03 0001101|1001010 0x06CA
0x04 0001101|1001100 0x06CC
0x05 0001110|1001100 0x074C
0x06 0010010|1001010 0x094A
0x07 0010010|1001100 0x094C
0x08 0010011|1001100 0x09CC
0x09 0011101|0001000 0x0E88
0x0a 0011101|0001010 0x0E8A
BX = 000 Event : 33
0x00 0011011|0000110 0x0D86
0x01 0100001|0001000 0x1088
0x02 0101110|0000101 0x1705
0x03 0101110|0001000 0x1708
0x04 0110000|0000101 0x1805
0x05 0110000|0001000 0x1808
BX = 001 Event : 34
0x00 0111101|0000101 0x1E85
0x01 0111101|0000110 0x1E86
0x02 0111101|0000111 0x1E87
0x03 0111101|0001100 0x1E8C
0x04 0111110|0000101 0x1F05
0x05 0111110|0000110 0x1F06
0x06 0111110|0000111 0x1F07
0x07 0111110|0001010 0x1F0A
0x08 0111110|0001100 0x1F0C
0x09 0111111|0000101 0x1F85
0x0a 0111111|0000110 0x1F86
0x0b 0111111|0000111 0x1F87
0x0c 0111111|0001010 0x1F8A
0x0d 1000000|0001010 0x200A
0x0e 1000000|0001100 0x200C
0x0f 1000001|0000101 0x2085
0x10 1000001|0000110 0x2086
0x11 1000001|0000111 0x2087
0x12 1010000|0000101 0x2805
0x13 1010000|0000110 0x2806
0x14 1010000|0000111 0x2807
0x15 1010000|0001010 0x280A
0x16 1010000|0001100 0x280C
0x17 1011000|0001000 0x2C08
0x18 1011000|0001001 0x2C09
0x19 1011010|0000111 0x2D07
0x1a 1011010|0001000 0x2D08
0x1b 1011010|0001001 0x2D09
0x1c 1011010|0001100 0x2D0C
0x1d 1011100|0000111 0x2E07
0x1e 1011100|0001000 0x2E08
0x1f 1011100|0001001 0x2E09
0x20 1011100|0001100 0x2E0C
0x21 1100001|0100110 0x30A6
0x22 1100011|0001000 0x3188
0x23 1100011|0001001 0x3189
0x24 1100110|0001000 0x3308
0x25 1100110|0001001 0x3309
0x26 1100110|0001100 0x330C
0x27 1101011|0001000 0x3588
0x28 1101011|0001001 0x3589
0x29 1111000|0001000 0x3C08
0x2a 1111000|0001001 0x3C09
0x2b 1111111|0001000 0x3F88
0x2c 1111111|0001001 0x3F89
0x2d 1111111|0001100 0x3F8C
0x2e 1111111|0001000 0x3F88
0x2f 1111111|0001001 0x3F89
0x30 1111111|0001100 0x3F8C
0x31 1111111|0000101 0x3F85
0x32 1111111|0000110 0x3F86
0x33 1111111|0000111 0x3F87
0x34 1111111|0001010 0x3F8A
0x35 1111111|0001100 0x3F8C
0x36 1111111|0011001 0x3F99
0x37 1111111|0000101 0x3F85
0x38 1111111|0000110 0x3F86
0x39 1111111|0000111 0x3F87
0x3a 1111111|0001010 0x3F8A
BX = 010 Event : 35
0x00 0001101|0000110 0x0686
0x01 0001101|0001011 0x068B
0x02 0001101|0001110 0x068E
BX = 011 Event : 36
0x00 0001111|0100111 0x07A7
BX = 100 Event : 37
BX = 101 Event : 38
0x00 0010100|0011100 0x0A1C
0x01 0010100|0011111 0x0A1F
0x02 0010100|0100000 0x0A20
0x03 0010101|0011100 0x0A9C
0x04 0010101|0011111 0x0A9F
0x05 0010101|0100000 0x0AA0
0x06 0010111|0111100 0x0BBC
0x07 0011000|0100101 0x0C25
0x08 0100100|0000110 0x1206
0x09 0100100|0001011 0x120B
BX = 110 Event : 39
0x00 0010001|0000011 0x0883
0x01 0010100|0011011 0x0A1B
0x02 0010101|0011010 0x0A9A
0x03 0010101|0011011 0x0A9B
0x04 0010110|0011011 0x0B1B
0x05 0010111|0011011 0x0B9B
0x06 0011110|0010000 0x0F10
0x07 0011110|0010011 0x0F13
0x08 0011110|0011011 0x0F1B
BX = 111 Event : 40
0x00 0011100|0000101 0x0E05
0x01 0011101|0000101 0x0E85
0x02 0100011|0101010 0x11AA
0x03 0100111|0110000 0x13B0
0x04 0101011|0101101 0x15AD
0x05 0101011|0110000 0x15B0
0x06 0101100|0101101 0x162D
0x07 0101100|0110000 0x1630
0x08 0110111|0101101 0x1BAD
0x09 0110111|0110000 0x1BB0
BX = 000 Event : 41
0x00 0110010|0010110 0x1916
0x01 1000010|0111010 0x213A
BX = 001 Event : 42
0x00 0011010|0001001 0x0D09
0x01 0011011|0001001 0x0D89
BX = 010 Event : 43
BX = 011 Event : 44
0x00 0010001|0010011 0x0893
0x01 0011001|0010011 0x0C93
0x02 0011101|0000101 0x0E85
0x03 0011101|0000110 0x0E86
0x04 0011101|0000111 0x0E87
0x05 0011110|0000101 0x0F05
0x06 0011110|0000110 0x0F06
0x07 0011110|0000111 0x0F07
0x08 0101101|0000101 0x1685
0x09 0101101|0000111 0x1687
0x0a 0110010|0000101 0x1905
0x0b 0110010|0000110 0x1906
0x0c 0110010|0000111 0x1907
BX = 100 Event : 45
0x00 0010100|0110101 0x0A35
0x01 0010101|0110101 0x0AB5
BX = 101 Event : 46
0x00 0001111|0000111 0x0787
0x01 0001111|0001010 0x078A
0x02 0010000|0000111 0x0807
0x03 0010000|0001010 0x080A
0x04 0100111|0011100 0x139C
0x05 0100111|0011101 0x139D
0x06 0101000|0011100 0x141C
0x07 0101000|0011101 0x141D
0x08 0101010|0000110 0x1506
0x09 0111000|0000110 0x1C06
0x0a 0111011|0000111 0x1D87
0x0b 0111011|0001001 0x1D89
0x0c 0111011|0001010 0x1D8A
0x0d 0111110|0000110 0x1F06
0x0e 1011011|0000111 0x2D87
0x0f 1011011|0001010 0x2D8A
0x10 1011011|0001100 0x2D8C
BX = 110 Event : 47
BX = 111 Event : 48
0x00 1001111|0001011 0x278B
0x01 1001111|0001101 0x278D
0x02 1010000|0110000 0x2830
0x03 1010000|0000010 0x2802
0x04 1010000|0000110 0x2806
0x05 1010000|0000111 0x2807
BX = 000 Event : 49
0x00 0010010|0110101 0x0935
0x01 0010011|0110101 0x09B5
0x02 0011000|0010000 0x0C10
0x03 0011000|0010011 0x0C13
0x04 0011000|0010101 0x0C15
0x05 0011000|0010110 0x0C16
0x06 0011010|0010000 0x0D10
0x07 0011010|0010011 0x0D13
0x08 0011010|0010101 0x0D15
0x09 0011010|0010110 0x0D16
BX = 001 Event : 50
0x00 0100100|0000110 0x1206
0x01 0100100|0000111 0x1207
0x02 0100100|0001000 0x1208
0x03 0100100|0001001 0x1209
0x04 0100101|0100010 0x12A2
0x05 0101010|0000110 0x1506
0x06 0101010|0000111 0x1507
0x07 0101010|0001000 0x1508
0x08 0101010|0001001 0x1509
0x09 1000001|0000110 0x2086
0x0a 1000001|0000111 0x2087
0x0b 1000001|0001000 0x2088
0x0c 1000001|0001001 0x2089
0x0d 1000010|0000110 0x2106
0x0e 1000010|0000111 0x2107
0x0f 1000010|0001000 0x2108
0x10 1000010|0001001 0x2109
BX = 010 Event : 51
0x00 0011101|0010001 0x0E91
0x01 0100100|0000011 0x1203
0x02 0100100|0000110 0x1206
BX = 011 Event : 52
0x00 0010001|0001001 0x0889
0x01 0010001|0001011 0x088B
0x02 0110010|0001001 0x1909
0x03 0110010|0001011 0x190B
0x04 0110010|0001111 0x190F
BX = 100 Event : 53
0x00 0011000|0000001 0x0C01
0x01 0011000|0000011 0x0C03
0x02 0011011|0011001 0x0D99
0x03 0011011|0011010 0x0D9A
0x04 0011100|0000001 0x0E01
0x05 0011100|0000011 0x0E03
0x06 0100100|0100110 0x1226
0x07 0100101|0100110 0x12A6
0x08 0111011|0000000 0x1D80
0x09 0111011|0000001 0x1D81
0x0a 0111011|0000011 0x1D83
0x0b 0111011|0000100 0x1D84
0x0c 0111011|0000111 0x1D87
BX = 101 Event : 54
0x00 0100111|0101101 0x13AD
0x01 0100111|0110101 0x13B5
0x02 0100111|0110110 0x13B6
0x03 0100111|0111000 0x13B8
BX = 110 Event : 55
0x00 0100010|0111101 0x113D
0x01 0110011|0010000 0x1990
0x02 0110101|0010000 0x1A90
0x03 0110110|0010000 0x1B10
BX = 111 Event : 56
0x00 0011100|0100110 0x0E26
0x01 0011101|0100110 0x0EA6
0x02 0100001|0010010 0x1092
0x03 0100011|0010010 0x1192
0x04 1001000|0011000 0x2418
0x05 1001000|0011001 0x2419
0x06 1001000|0011010 0x241A
0x07 1001000|0011100 0x241C
0x08 1001000|0100001 0x2421
0x09 1010000|0010010 0x2812
0x0a 1010001|0010010 0x2892
0x0b 1010001|0011000 0x2898
BX = 000 Event : 57
0x00 0010000|0001101 0x080D
0x01 0010000|0010001 0x0811
0x02 0011010|0101000 0x0D28
0x03 0011011|0001101 0x0D8D
0x04 0100111|0001010 0x138A
0x05 0100111|0001011 0x138B
0x06 0100111|0001100 0x138C
0x07 0100111|0001101 0x138D
0x08 0100111|0010001 0x1391
BX = 001 Event : 58
0x00 0010101|0001000 0x0A88
0x01 0010101|0001010 0x0A8A
0x02 0011111|0001000 0x0F88
0x03 0011111|0001010 0x0F8A
BX = 010 Event : 59
0x00 0100011|0010111 0x1197
0x01 0100011|0011000 0x1198
0x02 0100111|0000010 0x1382
0x03 0100111|0000011 0x1383
0x04 0101000|0000010 0x1402
0x05 0101000|0000011 0x1403
0x06 0101001|1000011 0x14C3
0x07 0101001|1000100 0x14C4
0x08 0101010|1000011 0x1543
0x09 0101010|1000100 0x1544
0x0a 0101011|1000011 0x15C3
0x0b 0101011|1000100 0x15C4
0x0c 0101100|1000011 0x1643
0x0d 0101100|1000100 0x1644
0x0e 0101101|1000011 0x16C3
0x0f 0101101|1000100 0x16C4
0x10 0101110|1000011 0x1743
0x11 0101110|1000100 0x1744
0x12 0110110|0000000 0x1B00
0x13 0110110|0000001 0x1B01
0x14 0110110|0000010 0x1B02
0x15 0110110|0000011 0x1B03
0x16 1011001|1000011 0x2CC3
