BX = 000 Event : 1
0x00 0000100|0001100 0x020C
0x01 0001100|0011011 0x061B
0x02 0101100|0011011 0x161B
0x03 0101101|0011011 0x169B
0x04 0101110|0011011 0x171B
0x05 0101111|0011011 0x179B
BX = 001 Event : 2
0x00 0000110|0101011 0x032B
0x01 0000111|0101011 0x03AB
0x02 0001000|0101011 0x042B
BX = 010 Event : 3
0x00 0000100|0000000 0x0200
BX = 011 Event : 4
0x00 0000100|0100000 0x0220
0x01 0000101|0100000 0x02A0
BX = 100 Event : 5
0x00 0000111|0010101 0x0395
0x01 0000111|0010110 0x0396
0x02 0001101|0111001 0x06B9
0x03 0001101|0111010 0x06BA
0x04 0010011|0010101 0x0995
0x05 0110101|0111001 0x1AB9
0x06 0110101|0111010 0x1ABA
0x07 0110101|0100000 0x1AA0
BX = 101 Event : 6
0x00 0001100|0001011 0x060B
0x01 0001100|0001101 0x060D
BX = 110 Event : 7
0x00 0000100|0111111 0x023F
0x01 0010001|0010100 0x0894
0x02 0010001|0101011 0x08AB
0x03 0010001|0101100 0x08AC
0x04 0010001|0011010 0x089A
0x05 0010001|0101101 0x08AD
0x06 0010001|0101110 0x08AE
0x07 0011001|0110011 0x0CB3
0x08 0011001|0110101 0x0CB5
0x09 0011001|0110111 0x0CB7
0x0a 0011010|0110011 0x0D33
0x0b 0011010|0110101 0x0D35
0x0c 0011010|0110111 0x0D37
BX = 111 Event : 8
BX = 000 Event : 9
0x00 0000010|0101010 0x012A
0x01 0000010|0101011 0x012B
0x02 0000010|0101100 0x012C
0x03 0000010|0000010 0x0102
0x04 0000011|0101010 0x01AA
0x05 0000011|0101011 0x01AB
0x06 0000011|0101100 0x01AC
0x07 0000011|0000010 0x0182
0x08 0000100|0000010 0x0202
0x09 0000111|0100000 0x03A0
0x0a 0001000|0100000 0x0420
0x0b 0001001|0100000 0x04A0
0x0c 0001010|0100000 0x0520
0x0d 0001101|0101010 0x06AA
0x0e 0001101|0101011 0x06AB
0x0f 0001101|0101100 0x06AC
0x10 0010110|0101000 0x0B28
0x11 0010111|0101000 0x0BA8
0x12 0011001|0101010 0x0CAA
0x13 0011001|0101011 0x0CAB
0x14 0011001|0101100 0x0CAC
0x15 0011010|0000010 0x0D02
0x16 0011011|0000010 0x0D82
0x17 0011100|0101000 0x0E28
0x18 0011100|0101010 0x0E2A
0x19 0011100|0101011 0x0E2B
0x1a 0011100|0101100 0x0E2C
0x1b 0101011|0010100 0x1594
0x1c 0101011|0010101 0x1595
0x1d 0101100|0010100 0x1614
0x1e 0101100|0010101 0x1615
0x1f 0101101|0010100 0x1694
0x20 0101101|0010101 0x1695
0x21 0111001|0101000 0x1CA8
0x22 0111001|0101010 0x1CAA
0x23 0111001|0101011 0x1CAB
0x24 0111001|0101100 0x1CAC
0x25 0111001|0000010 0x1C82
BX = 001 Event : 10
0x00 0000111|0011010 0x039A
0x01 0001000|0011010 0x041A
0x02 0001001|0011010 0x049A
0x03 0001010|0110100 0x0534
0x04 0001010|0110101 0x0535
0x05 0001010|0110110 0x0536
0x06 0010100|0110100 0x0A34
0x07 0010100|0110101 0x0A35
0x08 0010100|0110110 0x0A36
0x09 0010101|0110100 0x0AB4
0x0a 0010101|0110101 0x0AB5
0x0b 0010101|0110110 0x0AB6
0x0c 0011010|0011010 0x0D1A
0x0d 0011011|0011010 0x0D9A
0x0e 0011100|0011010 0x0E1A
BX = 010 Event : 11
BX = 011 Event : 12
0x00 0000100|0010100 0x0214
0x01 0001110|0100010 0x0722
0x02 0110001|0100010 0x18A2
0x03 0110010|0100010 0x1922
0x04 0110011|0100010 0x19A2
0x05 0110100|0100010 0x1A22
BX = 100 Event : 13
0x00 0100011|0101011 0x11AB
0x01 0100110|0101011 0x132B
0x02 0100111|0101011 0x13AB
BX = 101 Event : 14
0x00 0001011|0000000 0x0580
BX = 110 Event : 15
0x00 0000101|0010010 0x0292
0x01 0000110|0010010 0x0312
0x02 0000111|0010010 0x0392
BX = 111 Event : 16
0x00 0000100|0110100 0x0234
0x01 0000110|0011010 0x031A
0x02 0110011|0110100 0x19B4
BX = 000 Event : 17
0x00 0000010|0100001 0x0121
0x01 0000010|0001001 0x0109
0x02 0000010|0100011 0x0123
0x03 0000011|0001001 0x0189
0x04 0000011|0100011 0x01A3
0x05 0000111|1000100 0x03C4
0x06 0001000|1000000 0x0440
0x07 0001000|1000001 0x0441
0x08 0001000|1000100 0x0444
0x09 0001001|1000000 0x04C0
0x0a 0001001|1000001 0x04C1
0x0b 0001001|1000100 0x04C4
0x0c 0011000|0111111 0x0C3F
0x0d 0011000|1000000 0x0C40
0x0e 0011000|1000001 0x0C41
0x0f 0011000|1000100 0x0C44
0x10 0100000|0100001 0x1021
0x11 0100000|0001001 0x1009
0x12 0100000|0100011 0x1023
BX = 001 Event : 18
0x00 0001000|0001000 0x0408
0x01 0001111|0000011 0x0783
0x02 0001111|0000100 0x0784
0x03 0010001|0010001 0x0891
0x04 0010001|0010110 0x0896
0x05 0010011|0010001 0x0991
0x06 0010011|0010110 0x0996
BX = 010 Event : 19
0x00 0001011|0111111 0x05BF
0x01 0001011|1000001 0x05C1
0x02 0001011|1000010 0x05C2
0x03 0010000|0111111 0x083F
0x04 0010000|1000001 0x0841
0x05 0010000|1000010 0x0842
0x06 0010000|1000100 0x0844
0x07 0010001|0111111 0x08BF
0x08 0010001|1000001 0x08C1
0x09 0010001|1000010 0x08C2
0x0a 0010001|1000100 0x08C4
0x0b 0011111|0000101 0x0F85
0x0c 0011111|0101101 0x0FAD
0x0d 0011111|0101111 0x0FAF
0x0e 0100000|0101000 0x1028
0x0f 0101100|1000110 0x1646
0x10 0101100|1000111 0x1647
0x11 0101101|1000110 0x16C6
0x12 0101101|1000111 0x16C7
BX = 011 Event : 20
0x00 0001000|0011001 0x0419
0x01 0001001|0011001 0x0499
BX = 100 Event : 21
0x00 0010110|0100111 0x0B27
0x01 0010111|0100111 0x0BA7
BX = 101 Event : 22
0x00 0000011|0001010 0x018A
0x01 0000011|0100011 0x01A3
0x02 0000100|0001010 0x020A
0x03 0000100|0100011 0x0223
0x04 0000110|0011101 0x031D
0x05 0000110|0000001 0x0301
0x06 0000111|0011101 0x039D
0x07 0000111|0000001 0x0381
0x08 0100001|0101100 0x10AC
0x09 0100001|0101101 0x10AD
0x0a 0100001|0101110 0x10AE
0x0b 1001010|0001010 0x250A
0x0c 1001010|0100011 0x2523
0x0d 1010011|0001010 0x298A
0x0e 1010011|0100011 0x29A3
0x0f 1010100|0001010 0x2A0A
0x10 1010100|0100011 0x2A23
BX = 110 Event : 23
0x00 0000011|0011011 0x019B
0x01 0000100|0011011 0x021B
0x02 0000101|1000101 0x02C5
0x03 0000101|1000110 0x02C6
0x04 0000101|1000111 0x02C7
0x05 0000110|1000101 0x0345
0x06 0000110|1000110 0x0346
0x07 0000110|1000111 0x0347
0x08 0000111|1000101 0x03C5
0x09 0000111|1000110 0x03C6
0x0a 0000111|1000111 0x03C7
0x0b 0011011|0101100 0x0DAC
0x0c 0011011|0101111 0x0DAF
0x0d 0011110|0010010 0x0F12
BX = 111 Event : 24
0x00 0000011|0101001 0x01A9
0x01 0000011|0101010 0x01AA
0x02 0001000|0100011 0x0423
0x03 0001001|0100011 0x04A3
BX = 000 Event : 25
0x00 0000000|0011111 0x001F
0x01 0000001|0011111 0x009F
0x02 0000111|0010000 0x0390
0x03 0000111|0010010 0x0392
0x04 0001000|0100111 0x0427
0x05 0001000|0001010 0x040A
0x06 0001000|0001011 0x040B
0x07 0001110|0010111 0x0717
0x08 0001110|0011000 0x0718
0x09 0010101|0100111 0x0AA7
0x0a 0010101|0001010 0x0A8A
0x0b 0010101|0001011 0x0A8B
BX = 001 Event : 26
0x00 0000110|0101011 0x032B
BX = 010 Event : 27
0x00 0011101|0101110 0x0EAE
0x01 0011111|0101110 0x0FAE
0x02 0011111|0011100 0x0F9C
BX = 011 Event : 28
0x00 0010110|0101001 0x0B29
0x01 0011011|0101001 0x0DA9
0x02 0011011|0000010 0x0D82
BX = 100 Event : 29
0x00 0000001|0000001 0x0081
0x01 0000001|0101000 0x00A8
0x02 0000010|0000001 0x0101
0x03 0000010|0101000 0x0128
0x04 0001001|0010000 0x0490
0x05 0001101|0000001 0x0681
0x06 0001101|0101000 0x06A8
0x07 0001110|0000001 0x0701
0x08 0001110|0101000 0x0728
BX = 101 Event : 30
0x00 0100011|0111101 0x11BD
0x01 0100011|0000010 0x1182
BX = 110 Event : 31
0x00 0000110|0001000 0x0308
0x01 0001000|0001000 0x0408
BX = 111 Event : 32
0x00 0000110|0011010 0x031A
BX = 000 Event : 33
0x00 0000011|0011010 0x019A
0x01 0000100|0011010 0x021A
0x02 0001001|0010101 0x0495
0x03 0001001|0010111 0x0497
0x04 0001010|0011001 0x0519
0x05 0001010|0011010 0x051A
0x06 0001100|0010101 0x0615
0x07 0001100|0010111 0x0617
0x08 0001101|0011001 0x0699
0x09 0001101|0011010 0x069A
0x0a 0010111|0100011 0x0BA3
0x0b 0011000|0100011 0x0C23
0x0c 0011100|0000011 0x0E03
0x0d 0011100|0100000 0x0E20
0x0e 0011100|0100001 0x0E21
0x0f 0011101|0000011 0x0E83
0x10 0011101|0100000 0x0EA0
0x11 0011101|0100001 0x0EA1
0x12 0011110|0000011 0x0F03
0x13 0011110|0100000 0x0F20
0x14 0011111|0000011 0x0F83
0x15 0011111|0100000 0x0FA0
BX = 001 Event : 34
0x00 0000000|0101101 0x002D
0x01 0000000|0101110 0x002E
0x02 0000001|0101101 0x00AD
0x03 0000001|0101110 0x00AE
0x04 0000101|0101010 0x02AA
0x05 0001010|0101010 0x052A
BX = 010 Event : 35
0x00 0001001|0100111 0x04A7
0x01 0001011|0011100 0x059C
0x02 0001011|0011110 0x059E
BX = 011 Event : 36
0x00 0000010|0011000 0x0118
0x01 0000100|0011000 0x0218
0x02 0001000|0011000 0x0418
BX = 100 Event : 37
0x00 0000101|0001111 0x028F
0x01 0000101|0011100 0x029C
0x02 0000101|0100000 0x02A0
0x03 0000111|0001111 0x038F
0x04 0000111|0011100 0x039C
0x05 0000111|0100000 0x03A0
0x06 0001000|0001111 0x040F
0x07 0001000|0011100 0x041C
0x08 0001000|0100000 0x0420
0x09 0001001|0100000 0x04A0
BX = 101 Event : 38
0x00 0000011|0010010 0x0192
BX = 110 Event : 39
0x00 0000011|0110100 0x01B4
0x01 0000011|0110101 0x01B5
0x02 0000100|0110100 0x0234
0x03 0000100|0110101 0x0235
0x04 0000110|0100011 0x0323
0x05 0000110|0100101 0x0325
0x06 0000111|0100011 0x03A3
0x07 0000111|0100101 0x03A5
0x08 0001000|0100011 0x0423
0x09 0001000|0100101 0x0425
0x0a 0001001|0100011 0x04A3
0x0b 0001001|0100101 0x04A5
0x0c 0001010|0100011 0x0523
0x0d 0001010|0100101 0x0525
0x0e 0001011|0100011 0x05A3
0x0f 0001011|0100101 0x05A5
0x10 0010100|0100000 0x0A20
BX = 111 Event : 40
0x00 0000000|0100000 0x0020
0x01 0000000|0100001 0x0021
0x02 0000110|0100000 0x0320
0x03 0000110|0100001 0x0321
0x04 0000111|0100000 0x03A0
0x05 0000111|0100001 0x03A1
0x06 0010010|0100000 0x0920
0x07 0010110|0010001 0x0B11
0x08 0010110|0010100 0x0B14
0x09 0010110|0101100 0x0B2C
0x0a 0010110|0101101 0x0B2D
0x0b 0011100|0010001 0x0E11
0x0c 0011100|0101100 0x0E2C
0x0d 0011100|0101101 0x0E2D
0x0e 0110001|0010001 0x1891
0x0f 0110001|0101100 0x18AC
0x10 0110001|0101101 0x18AD
BX = 000 Event : 41
0x00 0000011|0000011 0x0183
0x01 0001001|0000011 0x0483
BX = 001 Event : 42
BX = 010 Event : 43
0x00 0000110|0100111 0x0327
0x01 0000110|0101000 0x0328
0x02 0000110|0101010 0x032A
BX = 011 Event : 44
0x00 0000100|0010101 0x0215
0x01 0001001|0000110 0x0486
0x02 0001001|0100110 0x04A6
0x03 0011000|0000100 0x0C04
0x04 0011000|0000101 0x0C05
0x05 0011001|0010100 0x0C94
0x06 0011001|0101011 0x0CAB
0x07 0100001|0010100 0x1094
0x08 0100001|0101011 0x10AB
0x09 0100010|0010100 0x1114
0x0a 0100010|0101011 0x112B
0x0b 0100110|0010100 0x1314
0x0c 0100110|0101011 0x132B
BX = 100 Event : 45
0x00 0001000|0100111 0x0427
0x01 0001000|0101000 0x0428
BX = 101 Event : 46
0x00 0000110|0101100 0x032C
0x01 0010011|0001010 0x098A
0x02 0010011|0101101 0x09AD
0x03 0010100|0001010 0x0A0A
0x04 0010100|0101101 0x0A2D
BX = 110 Event : 47
0x00 0001111|0010000 0x0790
0x01 0001111|0101001 0x07A9
0x02 0010000|0010000 0x0810
0x03 0010000|0101001 0x0829
0x04 0111100|0010000 0x1E10
0x05 0111100|0010011 0x1E13
0x06 0111100|0101001 0x1E29
0x07 0111101|0010000 0x1E90
0x08 0111101|0010011 0x1E93
0x09 0111101|0101001 0x1EA9
BX = 111 Event : 48
0x00 0001001|0010110 0x0496
0x01 0001010|0010110 0x0516
0x02 0010011|0011110 0x099E
0x03 0010011|0011111 0x099F
0x04 0010011|0100000 0x09A0
0x05 0010100|0011110 0x0A1E
0x06 0010100|0011111 0x0A1F
0x07 0010100|0100000 0x0A20
BX = 000 Event : 49
0x00 0001101|0101011 0x06AB
0x01 0001110|0101011 0x072B
0x02 0011000|0100111 0x0C27
0x03 0011011|0001000 0x0D88
0x04 0011011|0001010 0x0D8A
0x05 0011110|0100111 0x0F27
0x06 0100111|0100100 0x13A4
0x07 1000110|0100111 0x2327
BX = 001 Event : 50
0x00 0000000|0000101 0x0005
0x01 0000000|0100000 0x0020
0x02 0000000|0100001 0x0021
0x03 0000000|0100100 0x0024
0x04 0001011|0001000 0x0588
