BX = 000 Event : 1
0x00 0100010|0000101|0100010000|000000000000|000101100 0x0882A200002C
0x01 0100010|0000110|0100010000|111111111000|111100010 0x0883221FF1E2
BX = 001 Event : 2
BX = 010 Event : 3
0x00 0100001|0000001|0100011111|000001001000|000110000 0x0840A3E09030
0x01 0100010|0000111|0100001001|111101101000|001101000 0x0883A13ED068
BX = 011 Event : 4
0x00 0100001|0000100|0100011110|000000101000|111001111 0x084223C051CF
0x01 0100001|0000101|0100011110|111111111000|000000101 0x0842A3DFF005
BX = 100 Event : 5
0x00 0100011|0000000|0100111101|000001000000|101110100 0x08C027A08174
BX = 101 Event : 6
0x00 0100010|0000001|0100110101|111111100000|001111110 0x0880A6BFC07E
BX = 110 Event : 7
0x00 0100011|0000000|0100000001|111111000000|001010111 0x08C0203F8057
BX = 111 Event : 8
0x00 0100010|0000000|0100000101|111111101000|000110101 0x088020BFD035
0x01 0100010|0000101|0100010010|000010101000|000001100 0x0882A241500C
0x02 0100010|0000111|0100010101|111111110000|111110110 0x0883A2BFE1F6
BX = 000 Event : 9
0x00 0100001|0010100|0101000111|000000011000|000101111 0x084A28E0302F
0x01 0100010|0000000|0100001101|111110001000|111001101 0x088021BF11CD
0x02 0100010|0000011|0100000101|111111110000|101111010 0x0881A0BFE17A
0x03 0100010|0000100|0101001000|111111100000|000011000 0x0882291FC018
0x04 0100011|0000001|0100010101|000000001000|000001110 0x08C0A2A0100E
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0100001|0000000|0100101001|111110100000|111010000 0x0840253F41D0
0x01 0100010|0000010|0101000010|111111100000|000111001 0x0881285FC039
0x02 0100010|0000101|0100000000|111110111000|010001011 0x0882A01F708B
BX = 011 Event : 12
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0100010|0000001|0100010010|000001110000|001110111 0x0880A240E077
0x01 0100011|0000000|0100110000|111110101000|110100011 0x08C0261F51A3
0x02 0100011|0000001|0100001101|111101111000|010001101 0x08C0A1BEF08D
BX = 110 Event : 15
0x00 0100010|0000011|0100000110|000010010000|000010001 0x0881A0C12011
0x01 0100011|0000000|0100001011|000001100000|110100101 0x08C02160C1A5
BX = 111 Event : 16
0x00 0100010|0000000|0101001001|000000011000|001011011 0x08802920305B
0x01 0100010|0000001|0100011101|000000000000|000000011 0x0880A3A00003
0x02 0100011|0000000|0100100000|000001001000|111110000 0x08C0240091F0
BX = 000 Event : 17
0x00 0100010|0000001|0100001110|000000110000|001101001 0x0880A1C06069
0x01 0100011|0000110|0100000011|000000100000|110111000 0x08C3206041B8
0x02 0100011|0000111|0100001011|000000001000|000000011 0x08C3A1601003
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0100010|0000000|0100101001|000000100000|111000010 0x0880252041C2
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0100010|0000000|0100001001|111111101000|000011000 0x0880213FD018
BX = 101 Event : 22
0x00 0100010|0000000|0100000111|000000001000|110110011 0x088020E011B3
0x01 0100010|0000010|0100000010|000000010000|110110110 0x0881204021B6
0x02 0100010|0000100|0100100111|000000011000|111101010 0x088224E031EA
0x03 0100010|0000111|0100100010|111111101000|110010000 0x0883A45FD190
0x04 0100011|0000010|0100110111|000000001000|000011010 0x08C126E0101A
BX = 110 Event : 23
0x00 0100010|0000000|0100000101|111110110000|111100000 0x088020BF61E0
0x01 0100010|0000101|0100111001|000001010000|001010100 0x0882A720A054
0x02 0100010|0000110|0100110010|000000011000|110101010 0x0883264031AA
0x03 0100011|0000000|0100100110|111111101000|000111010 0x08C024DFD03A
BX = 111 Event : 24
0x00 0100010|0000000|0100011110|000000101000|000111000 0x088023C05038
BX = 000 Event : 25
0x00 0100010|0000000|0100111000|111111111000|111101001 0x0880271FF1E9
0x01 0100010|0001101|0100010101|000001000000|111011111 0x0886A2A081DF
0x02 0100010|0010000|0100001010|111111111000|111001110 0x0888215FF1CE
0x03 0100011|0000000|0100001111|000001110000|000111010 0x08C021E0E03A
0x04 0100011|0000001|0100110111|111111111000|111101001 0x08C0A6FFF1E9
0x05 0100011|0000010|0100110111|111111101000|000110011 0x08C126FFD033
