BX = 000 Event : 1
0x00 001001110000111|0000100110110101100|11101111101001|0000101111|0010100011|0000101011|0000100110|0000011000|0000100011|0000011001 0x09C384DACEFA42F28C2B0981808C19
0x01 001001110000000|0000100110110011011|11101111101010|0000101100|0010100100|0000101011|0000100110|0000011000|0000100011|0000011001 0x09C004D9BEFA82C2902B0981808C19
0x02 000101000001111|0000100010101100011|11111000110001|1111001001|0010101011|0000110110|0000101010|0000011010|0000110010|0000011111 0x050784563F8C7C92AC360A81A0C81F
0x03 000110010101001|0000100101001000111|00000011101101|0000000111|0100001000|0000001100|0000011110|0000000110|0000001011|111111111 0x032A4252381DA03A100603C03017FF
0x04 000110110011101|0000101100100011000|00000100110110|0000000011|0100001001|0010001001|0010001111|0000001011|0000001101|0000010001 0x06CE8591804D8034248923C0B03411
0x05 000110110011101|0000101100100011000|00000100110100|0000000111|0100001010|0010001001|0010001111|0000001011|0000001101|0000010001 0x06CE8591804D0074288923C0B03411
0x06 000110000011111|0000110110000001011|11111111100001|0010001011|0110000011|0010111010|0010001010|0010000011|0010000000|0000001100 0x060F86C0BFF848B60CBA228832000C
0x07 111001110001110|0000110000100010011|00000101001011|0000000110|0110000111|0011000000|0010010001|0010001111|0100010000|0100100100 0x39C706113052C0661CC02448F44124
0x08 111001110001110|0000110000100010010|00000101001011|0000000110|0110000111|0010001010|0010010001|0010001111|0100010000|0100100100 0x39C706112052C0661C8A2448F44124
0x09 001010101111100|0001001000010101100|00011010001011|1111100010|0110000110|0010100100|0010000001|0010010110|0010010111|0010010101 0x0ABE090AC1A2FE2618A42049625C95
0x0a 001010101011110|0001001000010000011|00011010000100|1111101011|0110010100|0010100100|0010000001|0010010110|0010010111|0010010101 0x0AAF090831A13EB650A42049625C95
0x0b 000111010011000|0001000100010010111|11111000110001|0000001001|0110100010|0010101111|0010111000|111111111|0011010111|0010001001 0x03A60444BFC6204B4457971FF35C89
0x0c 000101010000000|0001000010011111010|00011010101100|1110111001|0110010011|0010100011|0010000010|0010010101|0010011000|0010011000 0x0540084FA1AB3B964CA32089526098
0x0d 001001000001101|0001001001001111000|00000011100111|0000001001|1000000001|0010111110|111111111|0010001000|0010001100|0010000000 0x04834493C01CE04C025F7FC8823080
0x0e 001001000001110|0001001001001111001|00000011101001|0000000111|1000110000|0010111110|111111111|0010001000|0010001100|0010000000 0x04838493C81D203C605F7FC8823080
0x0f 001001000001110|0001001001001111001|00000011100011|0000001110|1000110001|0010111110|111111111|0010001000|0010001100|0010000000 0x04838493C81C6074625F7FC8823080
0x10 001001000001110|0001001001001111010|00000011101000|0000001000|1000110010|0010111110|111111111|0010001000|0010001100|0010000000 0x04838493D01D0044645F7FC8823080
0x11 110110011101010|0000111011101101001|00010100010100|1111001110|1000001111|0100011101|0100000011|0100000010|111111111|0100011000 0x1B3A83BB48A29E741E8EA06817FD18
0x12 110110010001011|0000111011100011110|00010100101011|1110111010|1000001111|0100011110|0100000011|0100000010|111111111|0100011010 0x1B22C3B8F0A57DD41E8F206817FD1A
0x13 110110010100100|0001001010001101000|00000001110000|0001000001|1010010110|0100000111|111111111|0110000000|0110000000|0110001101 0x1B2904A3400E020D2C83FFD806018D
0x14 110111110001011|0001001110000111111|11110100010011|0000001000|1010100001|0100101011|0100110110|111111111|0110100000|0110011101 0x1BE2C4E1FFA260454295A6DFF6819D
0x15 001000011110100|0001100101100010100|00010001110010|0001100010|1010001000|0100011111|0100000110|0100000001|0100000010|0100011001 0x087A0CB1411C862A211F4190140919
0x16 000101101010100|0001100011101110001|00000100100000|0001000010|1010000001|0100001011|0100010000|0100010001|0100011110|0100010011 0x05AA0C771048042A050B4411147913
0x17 000111010010010|0001100110110110011|00010001000001|1110001001|1100001010|0100011010|0100100010|0100000101|0100000100|0100011011 0x07490CDB3110789C291A489054111B
BX = 001 Event : 2
0x00 111010001110000|0000001011110011001|11110011101110|1111100101|0011000011|0000101100|0001000011|0000101110|0000011011|0000100000 0x3A3801799F3BBE530C2C10C2E06C20
0x01 111010001101110|0000001011110010011|11110011101101|1111101000|0011000100|0000101100|0001000011|0000101110|0000011011|0000011110 0x3A3701793F3B7E83102C10C2E06C1E
0x02 110110000110101|0000010101001110110|11111111010101|0000000100|0010000010|0010000001|0010001110|0010100000|0010111011|0010011001 0x361A82A76FF540420881238A02EC99
0x03 111000000010010|0000010110111000101|00000110111100|1110010011|0010001001|0010000111|0010100100|0010001000|0010010011|111111111 0x1C04816E28379C99124394844127FF
0x04 111000000010001|0000010110111000101|00000110111110|1110001111|0010010011|0010000111|0010100100|0010001000|0010010011|111111111 0x1C04416E2837DC79264394844127FF
0x05 111001111001011|0000011100111110111|11110111101010|1110110100|0100011110|0010101011|0011000000|0010010111|111111111|111111111 0xE7960E7DFDEAED11E2ACC025FFFFF
0x06 001010100111011|0000101111010000011|11111000011101|1111110011|0100011111|0010101110|0001001101|0000100111|0000011000|111111111 0x054EC2F41FC3BF9A3E5709A13831FF
0x07 001000100011010|0000101111000001010|00010101111000|1111101101|0100010010|0010010111|0000000011|0000000010|0000010110|0010011001 0x088D05E0A15E3ED4489700C0205899
0x08 001000100111101|0000101111000110101|00010110000000|1111100011|0100010001|0010010111|0000000011|0000000010|0000010110|0010011001 0x089E85E351603E34449700C0205899
0x09 111110111101100|0000100111011001001|00000101100010|1111000001|0100000100|0010000110|0010100001|0010000111|111111111|0010000001 0x1F7B0276482C5E0A084314243FFC81
0x0a 001001001000010|0001001011111000001|11111000101110|1111111100|1000110010|0100101010|0011000101|0010011000|0010100110|0010010010 0x0921097C1F8BBFC8C92A3149829892
0x0b 000101010000100|0001001100010101010|11110110000000|1111000001|1000101101|0100100100|0100110011|111111111|0010111101|0010100001 0x02A104C557B01E0C5A92267FF2F4A1
0x0c 000101010001011|0001001100010111010|11110101111110|1111000111|1000101110|0100100100|0100110011|111111111|0010111101|0010100001 0x02A2C4C5D7AFDE3C5C92267FF2F4A1
0x0d 110101100011111|0001000100001101010|11110100111001|1111110100|1000101100|0100100011|0100110010|0101001001|0110101100|0110011000 0x358F8886AF4E7F48B1234C9496B198
0x0e 110101100000110|0001000100000111001|11110100111000|1111110101|1000101100|0100100111|0100110010|0101001001|111111111|0110011000 0x1AC18441CFA71FAC5893A64A4FFD98
0x0f 001001111101011|0001111101100110110|00010000111001|1111101110|1110010000|0110011001|0110100011|0110000010|0110000000|111111111 0x04FAC7D9B0873F7720CCB46C1301FF
0x10 001001111101001|0001111101100110000|00010000111000|1111101101|1110010000|0110011010|0110100011|0110000010|0110000000|111111111 0x04FA47D980871F6F20CD346C1301FF
BX = 010 Event : 3
0x00 111001001111100|0000011111000101110|11100111001000|0010010001|0100011000|0010011001|0010010100|0010011101|0010100110|0010100000 0x393E03E2EE72091460992509D298A0
0x01 110101110110110|0000101001100111100|11111100011110|0001111001|0110000011|0010101100|111111111|111111111|0100010100|0100001110 0xD76C14CF3F1E1E5832B3FFFF4510E
0x02 000011010100001|0000111000011010100|00000001000000|0000010001|0110000101|0010110101|0010010010|0010000001|0010001000|0010000011 0x0350870D4010011614B52488122083
0x03 110101010001010|0000101111111000011|11100110100010|1111110011|0110011101|0010011000|0100010011|0100011000|0100100010|0010011111 0x354505FC3E68BF36749844D184889F
0x04 110100111111011|0001000111100010011|00001110100010|1111111110|1010001001|0100001111|0100011101|0110001001|0110000110|111111111 0x1A7EC47898745FF51287A3AC4B0DFF
0x05 110101111110010|0001010101000101000|00001011111110|0000100111|1010001000|0110001010|0110001011|111111111|111111111|0110000010 0xD7E42A8A02FE09E886298BFFFFD82
0x06 001010111000000|0001110001111001100|11111111000000|0000000011|1100011000|0110000100|0100001001|111111111|0100111111|0100010011 0x0570071E67F8001E30C2213FF4FD13
BX = 011 Event : 4
0x00 110101101000101|0000001010100001101|00001000100000|1111010111|0010001011|0000101011|0000010001|0010000100|0010001000|0010000110 0x35A28150D0883D722C2B0448422086
0x01 110101101000000|0000001010011111011|00001000100011|1111010010|0010001100|0000101011|0000010001|0010000100|0010001000|111111111 0x1AD000A7D8447E91181582242111FF
0x02 001010000011110|0000101111101111101|00001101000100|0000110001|0100010111|0010100000|0000011110|111111111|0000000110|0000000101 0x050782FBE868818A2E5003DFF01805
0x03 000111110001110|0000101101000110110|11110110101010|1110110100|0100101110|0011000100|0001000001|0000110101|0000111011|111111111 0x03E382D1B7B55DA25C620821A877FF
0x04 110110111000111|0000011111011001110|11111110111011|1110110100|0100000001|0011011001|0010000111|0010101100|0010110000|0100101000 0x36E383ECEFEEFB4404D921CAC2C128
0x05 110110111100001|0000100000111111110|00001011010001|0000001100|0100010101|0010011110|0010011110|111111111|111111111|0010000100 0xDBC2107F82D1031152789EFFFFC84
0x06 110111001101100|0000100010110010110|00010001100011|0000101110|0100011001|0010100101|0010101000|0010000100|0010000000|0010011010 0x373604596118C2E464A52A0842009A
0x07 001000001010010|0000110010110000100|11111011100000|1111111000|0100000000|0010000000|0010000010|111111111|0001001001|0000010010 0x0414832C27DC1FC20040105FF12412
0x08 000111001101010|0000110101110100010|11101010010001|0001101001|0100100101|0010110011|0010011001|111111111|0010110010|0010110010 0x039A835D1752234A4A59933FF2C8B2
0x09 000111001110001|0000110101110101010|11101010001110|0001101100|0100100101|0010110110|0010011001|111111111|0010110010|0010110010 0x039C435D5751C3624A5B133FF2C8B2
0x0a 000100110111010|0000111001110010001|11111101101010|0001001001|0110000101|0011011010|0010001000|0010101011|0010101001|0010001000 0x04DD07391FDA849614DA220AB2A488
0x0b 111000000010101|0000101111100011100|11110010011111|1110110000|0110110000|0010111101|0010101100|0100110000|0100101000|0100101110 0x380A85F1CF27FB06C0BD2B1304A12E
0x0c 110111111010011|0000110110111100001|11110000000000|0000100000|0110101101|0100111111|0100100100|0100101111|0100100101|0100101100 0x37E986DE1F000206B53F4912F4952C
0x0d 110111111011101|0000110110111110011|11101111111111|0000100010|0110101110|0100111111|0100100100|0100101111|0100100101|0100101100 0x37EE86DF3EFFC226B93F4912F4952C
0x0e 110111011001010|0000111001111010101|00010100100101|0001100001|1000010010|0100110000|111111111|111111111|0100100011|0100011111 0xDD941CF54525186124C3FFFF48D1F
0x0f 111100001011010|0001000000111111101|00001001011111|0000110111|1000001000|0100100001|0100010101|0100001101|0100001010|0100000110 0x3C2D081FD097C37821214550D42906
