BX = 000 Event : 0
0x00 0010111|0000100 0x0b84
0x01 0010111|0001001 0x0b89
0x02 0011001|0000100 0x0c84
0x03 0011001|0001001 0x0c89
0x04 0011010|0000100 0x0d04
0x05 0011010|0001001 0x0d09
0x06 0011010|0010001 0x0d11
0x07 0011011|0000100 0x0d84
0x08 0011011|0001001 0x0d89
0x09 0011101|0000100 0x0e84
0x0a 0011101|0001001 0x0e89
0x0b 0100010|0000100 0x1104
0x0c 0100010|0001001 0x1109
