BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
00 110|000101|1100|010|00
01 110|000110|0010|110|00
02 111|000111|0101|011|00
03 000|001011|1100|001|00
BX = 011 Event : 4
00 011|000001|1111|100|00
01 100|000010|1110|010|00
02 010|001001|0010|010|00
03 010|001010|1110|100|00
04 101|001111|1110|011|00
05 001|010010|1101|100|00
06 000|010101|1101|111|00
07 000|100001|1010|101|00
08 000|100010|0101|001|00
BX = 100 Event : 5
00 100|000000|0010|110|00
01 000|001011|0011|011|00
02 000|001111|0111|000|00
BX = 101 Event : 6
00 010|000010|1001|111|00
01 110|001000|1110|000|00
02 110|001001|1101|010|00
03 111|010000|1111|110|00
BX = 110 Event : 7
00 010|001100|1110|011|00
01 001|010001|0000|011|00
02 110|010010|0011|001|00
03 001|010111|0100|000|00
04 110|011001|1001|000|00
05 111|011010|1001|011|00
06 111|011100|1110|010|00
07 000|100000|0000|100|00
08 000|100010|1010|011|00
09 000|100101|1001|001|00
BX = 111 Event : 8
BX = 000 Event : 9
00 101|000110|0100|010|00
01 010|001000|0011|010|00
02 111|011001|1101|011|00
03 111|011100|1010|011|00
BX = 001 Event : 10
00 010|000111|0111|100|00
01 110|001000|0110|001|00
BX = 010 Event : 11
00 101|001001|0110|100|00
01 101|001010|0110|100|00
02 110|001110|1001|010|00
03 111|011000|1100|001|00
04 111|011100|0101|100|00
05 000|011101|1010|000|00
BX = 011 Event : 12
BX = 100 Event : 13
00 010|001000|1110|001|00
01 000|010011|1000|001|00
02 111|010101|0010|101|00
03 000|011000|1101|001|00
BX = 101 Event : 14
00 011|000000|1101|100|00
01 010|000111|1110|111|00
02 110|010001|1010|100|00
03 111|010110|0011|011|00
04 111|011000|0001|010|00
05 111|011011|0000|010|00
06 111|011111|0010|000|00
BX = 110 Event : 15
00 011|000011|1011|011|00
01 010|000110|0110|100|00
02 000|001101|0100|111|00
03 000|001110|1000|101|00
BX = 111 Event : 16
00 100|000011|1010|011|00
01 011|000100|0001|111|00
02 110|001010|0101|100|00
03 000|010000|0001|111|00
04 000|010111|1100|100|00
BX = 000 Event : 17
00 010|000100|1011|101|00
01 010|001000|1110|000|00
02 010|001011|0110|001|00
03 010|001100|1100|101|00
04 111|010000|1001|100|00
05 000|010010|0101|100|00
06 000|010110|0010|011|00
BX = 001 Event : 18
00 100|000000|0101|101|00
01 100|000001|0011|111|00
02 010|000100|1011|110|00
03 000|000111|1011|010|00
BX = 010 Event : 19
00 110|001101|0010|001|00
01 001|001111|1101|111|00
02 110|010000|0100|110|00
03 000|010100|0010|011|00
BX = 011 Event : 20
00 011|000011|0100|001|00
01 101|000100|1110|000|00
02 001|001000|0100|001|00
03 110|001001|0100|001|00
04 110|001011|0110|110|00
05 000|011000|1101|000|00
06 000|011011|0101|111|00
BX = 100 Event : 21
00 110|010011|0101|010|00
01 111|011100|0110|000|00
02 000|011110|1111|010|00
BX = 101 Event : 22
00 110|001110|0111|000|00
01 111|010100|1110|110|00
BX = 110 Event : 23
BX = 111 Event : 24
00 110|010100|0101|010|00
01 000|011010|1111|010|00
BX = 000 Event : 25
00 110|001101|0000|111|00
01 111|011010|1110|110|00
02 000|011101|0001|010|00
BX = 001 Event : 26
00 100|000100|0111|101|00
01 011|001100|1000|101|00
02 101|001110|0100|101|00
03 110|010101|0010|010|00
BX = 010 Event : 27
00 101|000011|1100|100|00
01 101|000100|0110|010|00
02 110|001111|1011|000|00
03 111|011010|0101|010|00
04 000|011100|1001|110|00
05 000|011101|0011|001|00
BX = 011 Event : 28
00 101|000011|1110|010|00
01 010|000110|1100|100|00
02 010|001000|0001|110|00
03 000|010101|0010|100|00
BX = 100 Event : 29
00 011|000001|1010|000|00
01 010|000110|0110|001|00
02 010|001000|0111|100|00
03 000|010011|1110|001|00
04 000|010110|0110|001|00
BX = 101 Event : 30
00 011|000000|1101|100|00
01 010|000111|1110|111|00
02 110|010101|1010|100|00
03 111|011100|0011|011|00
04 111|100000|0001|010|00
05 111|100001|0000|010|00
06 111|100011|0010|000|00
BX = 110 Event : 31
00 100|000110|1011|101|00
01 010|001001|1010|001|00
BX = 111 Event : 32
00 100|000000|0001|110|00
01 100|000010|1110|100|00
02 110|001011|1110|100|00
03 110|001101|0000|000|00
04 001|001110|1000|000|00
05 000|011100|1010|001|00
BX = 000 Event : 33
00 101|000010|1001|010|00
01 110|001000|1001|010|00
02 110|001001|1111|010|00
03 110|001101|0011|010|00
04 001|001110|0111|110|00
BX = 001 Event : 34
00 101|000101|0110|100|00
01 101|000110|0101|100|00
02 101|000111|0011|100|00
03 010|001010|0011|000|00
04 110|010110|0101|100|00
05 000|100011|0001|010|00
BX = 010 Event : 35
00 100|000011|0110|111|00
01 100|000100|0010|001|00
02 100|000101|1110|111|00
03 010|001001|1111|101|00
04 101|001010|1000|011|00
05 000|010001|1101|010|00
06 000|011101|1010|001|00
BX = 011 Event : 36
00 101|001101|0010|000|00
01 101|010000|0000|001|00
02 000|101000|1001|010|00
BX = 100 Event : 37
00 100|000010|0110|000|00
01 100|000011|1110|010|00
02 100|000100|1111|001|00
03 100|000110|0101|001|00
04 011|001000|1011|011|00
05 001|001110|1001|001|00
06 001|001111|0000|001|00
07 111|010101|0101|111|00
08 000|011001|1101|010|00
BX = 101 Event : 38
00 101|000111|0100|101|00
01 111|001100|0100|010|00
BX = 110 Event : 39
00 011|000000|1111|010|00
01 101|000110|1101|100|00
02 010|001001|1111|010|00
03 001|001100|0001|101|00
04 001|001101|1000|001|00
BX = 111 Event : 40
00 100|000011|0101|101|00
BX = 000 Event : 41
00 101|001010|1110|011|00
01 010|001011|1101|110|00
02 110|001101|1110|100|00
03 001|001110|1101|110|00
04 111|010110|1101|010|00
BX = 001 Event : 42
00 100|000000|1001|010|00
01 011|000010|0100|100|00
02 100|000101|0010|101|00
03 011|000111|0101|111|00
04 011|001000|0101|111|00
05 011|001011|0001|011|00
06 100|001100|0110|001|00
07 011|001110|0111|001|00
08 010|010000|1000|101|00
09 101|010100|1101|100|00
0a 010|010110|0011|111|00
0b 001|010111|0101|111|00
0c 110|011011|0110|100|00
0d 001|011100|0001|110|00
0e 001|011101|0101|010|00
0f 111|011111|1110|101|00
10 111|100111|0111|010|00
11 000|101000|0010|010|00
12 000|101010|0110|100|00
13 000|101101|0001|010|00
BX = 010 Event : 43
00 101|000110|0110|101|00
01 001|001001|1110|101|00
02 000|001101|0010|110|00
03 000|010111|0100|011|00
BX = 011 Event : 44
00 100|000001|0101|001|00
01 101|000101|0101|110|00
02 010|001000|0011|100|00
03 010|001011|1001|011|00
04 001|001101|1010|001|00
05 110|010010|1001|100|00
06 000|010100|1001|000|00
07 111|011001|1001|000|00
BX = 100 Event : 45
00 000|010011|0110|111|00
BX = 101 Event : 46
00 101|001101|1001|101|00
01 001|010111|1000|000|00
02 111|011011|1110|011|00
03 000|011100|1100|011|00
04 111|100010|1101|000|00
05 000|100011|1111|100|00
06 000|101001|1101|001|00
BX = 110 Event : 47
00 101|001000|0111|011|00
01 110|001100|0011|000|00
BX = 111 Event : 48
00 011|000000|1010|100|00
01 110|001100|1011|100|00
BX = 000 Event : 49
BX = 001 Event : 50
BX = 010 Event : 51
BX = 011 Event : 52
BX = 100 Event : 53
BX = 101 Event : 54
BX = 110 Event : 55
BX = 111 Event : 56
BX = 000 Event : 57
BX = 001 Event : 58
BX = 010 Event : 59
BX = 011 Event : 60
BX = 100 Event : 61
BX = 101 Event : 62
BX = 110 Event : 63
BX = 111 Event : 64
BX = 000 Event : 65
BX = 001 Event : 66
BX = 010 Event : 67
BX = 011 Event : 68
BX = 100 Event : 69
BX = 101 Event : 70
BX = 110 Event : 71
BX = 111 Event : 72
BX = 000 Event : 73
BX = 001 Event : 74
BX = 010 Event : 75
BX = 011 Event : 76
BX = 100 Event : 77
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
BX = 011 Event : 84
BX = 100 Event : 85
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
BX = 100 Event : 93
BX = 101 Event : 94
BX = 110 Event : 95
BX = 111 Event : 96
BX = 000 Event : 97
BX = 001 Event : 98
BX = 010 Event : 99
BX = 011 Event : 100
