BX = 000 Event : 1
00 011|1100110|001111111101|10010011110001
01 011|1100011|000010100100|11100101110111
02 011|1110110|001101100100|01101111101000
03 011|0001111|000000100000|00100011001011
04 011|1100100|000010000101|10110100101011
05 011|1100011|000111001010|11010011011100
06 011|1100011|001001111101|11010011100100
07 011|1110001|000001110000|10111011101100
08 010|0001111|001011010101|00010010010010
09 010|1110110|001011000101|01110001101100
0a 010|1100011|001110010111|11110111101001
0b 010|1100100|001001011001|11000011010011
0c 010|1101000|001101111000|01111010000000
0d 001|0010011|001011010111|01011011000111
0e 110|1110010|000110010010|10011101101001
0f 110|0001111|001011110001|00100101100010
10 110|1110000|001101101001|11101011001011
11 110|1110000|001100111000|11101011001011
12 001|1100111|000100101111|10000110111111
13 110|0011100|000110010100|00000011110100
14 110|1110101|001010011011|01111001011101
15 110|1110011|001111110010|10010011111111
16 111|0100001|000011001000|01100011111101
17 111|1100101|001110000000|10100111100100
18 000|0001111|000111011001|00000111000100
19 111|1110100|001000000011|10001001001000
1a 000|1100011|001101111010|11100110000111
1b 000|1110001|001011001010|10110010100110
1c 000|1100011|001110000101|11010001011100
1d 111|1100011|001101101011|11101010010111
1e 111|1110000|000100001101|11100011111010
1f 000|1110000|000011001101|11111101011000
20 000|0010100|000111000010|01100000111100
21 111|1100011|000010110100|11010100100100
22 111|1100011|000111110000|11001111011100
BX = 001 Event : 2
00 011|1101000|001011100001|01111100100110
01 011|0100000|001101100001|01011100100111
02 011|0100001|001011001010|01100001101010
03 010|1110101|001011011110|01111100111110
04 010|0011101|000001110101|00110100111010
05 010|0011100|001000100100|00011100110010
06 001|1101000|000100110001|01111101001101
07 110|0010011|000110111000|01011010111111
08 001|1110000|000001101000|11011011001011
09 110|0010101|001110010010|01101011101010
0a 110|1110001|001011100001|11111110111110
0b 111|1110000|000101111000|11000100000010
0c 000|0011110|000000110111|00111011111110
0d 000|0100000|000001010011|01011000101101
0e 000|0001111|001011110001|00000111111001
0f 000|0001111|000010001000|00100110001000
10 000|0010000|000010001010|00100111110001
11 111|1110000|000110001101|11001011110010
12 000|1110000|000001010001|11011011010011
13 000|0011100|000011010010|00011011101000
14 000|0010000|000010101111|00101010110110
15 000|0011111|000011001101|01001100001001
16 000|0010010|000000000100|01001011101010
17 000|0010000|000110111111|00110010100111
BX = 010 Event : 3
00 011|0010001|001100100010|00111101000110
01 011|1100101|000010101001|10100010000101
02 011|1110111|000100001010|01101011010010
03 011|0010011|000101011011|01011100110111
04 101|1100011|001100010101|11100011100110
05 010|1100011|000010100010|11111001010001
06 010|1110000|000000111100|11100000011101
07 101|0001111|000000100000|00010110101010
08 010|0010011|000111010100|01011001000000
09 110|1110000|000011011010|11011000011101
0a 001|0001111|001100011101|00100111010011
0b 001|0100000|000100010000|01011110110011
0c 001|0010100|000001111011|01011111111001
0d 110|1110000|000110001010|11010000111101
0e 110|1110101|000100000011|01111101110100
0f 110|1100011|001001101011|11100100011110
10 111|1110000|001000010000|11000111101111
11 000|1110001|000001100000|10101100010110
12 000|1110010|001011010100|10011101001010
13 000|1100011|000010110001|11110101101000
14 111|1101001|001010001100|01110011011101
15 000|0011101|001101100100|00110000010010
16 111|1100110|001001101011|10011010101111
17 000|0010000|001100010010|00110000100000
BX = 011 Event : 4
00 011|0100010|001001001000|01101100100011
01 011|0001111|000010111110|00011110101100
02 011|0001111|001100011010|00000100010110
03 100|0010000|000010011100|00101101000101
04 011|0001111|001110110000|00001110110111
05 011|0001111|000010010111|00001111000110
06 100|0011100|001101011100|00001010110010
07 011|1110000|000011011010|11010000101101
08 101|0011110|000011010111|00111100010101
09 010|1110100|000011110001|10001000111001
0a 010|1110001|001111011010|10111110000001
0b 101|1110100|001101100011|10000011101100
0c 110|1110001|001111110100|10111101110001
0d 110|1110111|001000001011|01101100111110
0e 110|1100111|001001101101|10000101011000
0f 001|1110100|000001100000|10000011001010
10 001|1110001|001111110111|10111111000000
11 110|0010010|000100110100|01010001000011
12 111|1100100|000100011010|10101101000011
13 111|1110100|000001001001|10001001111111
14 000|0001111|000010100111|00100011101001
15 111|0010011|000110111101|01011100010010
16 000|0011100|000100010000|00001111111001
17 111|0011100|000110101011|00000001110101
18 111|0001111|000110101101|00000000001101
19 111|1110010|001111101111|10100111111011
1a 111|1110010|001010110101|10100000110101
1b 111|1110010|001111101100|10100000110101
1c 111|1110000|001010011011|11001011000011
BX = 100 Event : 5
00 011|1110000|000110101001|11011111100110
01 011|1110001|000100001101|10111101111001
02 011|1110000|001111110111|11101010001100
03 011|1110000|000100000011|11010101000001
04 011|0010011|000100101010|01011101011100
05 010|0011100|001000101001|00000000001101
06 010|1100011|000110101011|11100000000110
07 101|1110110|000110100100|01110010100010
08 101|0010100|001110011001|01100100010101
09 010|0100000|001001000110|01011000001000
0a 101|0010100|001110010111|01100010000111
0b 110|1110010|001101100110|10100001100100
0c 001|0010100|000110101101|01100101110110
0d 110|1110000|001111010000|11100011100010
0e 110|1110110|000001000100|01110111100000
0f 000|1100110|000100100100|10010100000001
10 111|1100100|001001100011|10111000101011
11 000|1110100|000000110100|10001001010000
12 111|1110001|001011000000|10110001001000
13 000|1110110|000110010010|01110011000001
BX = 101 Event : 6
00 100|0011100|000001110000|00011001010100
01 011|1110001|001010010110|10101101001101
02 100|0011101|000001011110|00101101000010
03 011|1110010|000110100100|10011110011000
04 010|1110001|000101101110|10101111101010
