BX = 000 Event : 1
00 100|0010001|000001111111|10001000000100
01 011|0011111|000000101011|00111111011010
02 001|0010010|000010001110|10100100111110
03 110|0100000|000000100100|10101001010110
04 110|0010000|000110011100|01011010110110
05 000|0011111|001100011000|00110111100110
06 000|0010001|000001011101|01010011000101
07 000|0010011|000001111100|10101001101101
08 000|0010000|000001101010|01011011110001
09 000|0100001|000011100001|00101001111111
0a 000|0010100|000011100010|00101010110101
0b 111|1110101|000010010100|11001011010000
0c 111|0010001|000010001110|10001001101010
0d 111|1100111|001110000001|11011000111001
0e 000|1110011|001100101000|11011111010000
0f 000|0010001|001101100101|01000110010000
10 111|0011110|000010111011|01000101000000
11 111|0010000|001000110110|01101111101000
12 111|0100000|000111011011|00110110001101
13 111|1110101|000101000100|11001001010010
BX = 001 Event : 2
00 011|0011101|001111010001|01100000011100
01 101|1101001|000110101100|00100000110101
02 010|0010101|000110100001|00100001001000
03 101|1110100|000000101011|11010100111010
04 010|0010100|001001000110|10110110011001
05 010|0011101|001001110001|01100110111000
06 101|0100000|001110100111|10101011011010
07 111|0010011|001001001000|00110010110011
08 000|0011110|001010000110|01000110001111
BX = 010 Event : 3
00 011|0011110|001000000010|10010111110000
01 010|0010001|001111110010|01010101110000
02 010|0011101|000000110011|01110101101001
03 010|0010100|000011111001|00100111011011
04 010|0010010|001101001001|10011111110100
05 110|0010001|001111110111|01010101101011
06 110|0010001|001000111110|10000100011001
07 001|0011111|001101001001|10011111000101
08 000|0010010|000100000110|10100000000100
09 000|1100111|001101110010|11010110101110
0a 000|0010000|001000111100|01110110101000
0b 111|0010011|001000011010|10101000111101
0c 111|0011110|000000011100|01010101100011
0d 111|0010001|000011101111|01000110000110
BX = 011 Event : 4
00 100|0010001|000010000100|10001001011010
01 011|0011110|000010110011|01010110010011
02 100|0010010|000001110010|10100001111001
03 011|0010001|001011110110|10001101011111
04 011|0010001|000001110010|01001011111011
05 100|0010100|000001100101|10110011110101
06 011|0010001|000001100111|01001000011011
07 011|0010010|000011110111|01000001001011
08 011|0010001|000010001110|01011001110000
09 100|0011110|000011001111|10001110000010
0a 011|0011110|000010101011|01010001100110
0b 011|0011110|000011000101|01010010110000
0c 101|0100001|001100101010|10110011001100
0d 010|0010100|000011100101|00101011010101
0e 010|0011110|000000110110|01000111010011
0f 010|0010000|000001100101|01100010100110
10 101|0010001|000100011011|10010101101010
11 010|0011110|001110110100|10011010000100
12 010|0011101|001010100101|10000011001010
13 010|0011110|000010011001|01001110011110
14 010|0010100|000001011000|10111001011000
15 101|0100001|001100000110|00100100000101
16 001|0010001|000001010000|10000111000100
17 001|0010100|001101010000|00100101111100
18 110|0010100|000001101010|10110101111001
19 001|0011101|001010010011|01111100001111
1a 110|0010011|000001101101|10110000010110
1b 110|0100001|000111110010|00100101000100
1c 000|0100001|001101001111|00100101001110
1d 000|0011110|000010100110|10001110010111
1e 000|0011101|001110101111|01100010010000
1f 000|0100000|001111101000|10110010010011
20 000|0100000|001110101101|10110010010011
21 111|0010011|000001100111|10101010100111
22 000|0011111|000010111101|10011111011111
23 000|0010010|000100001110|10011110011110
24 000|0010011|001111101111|00110110100111
25 111|0011110|000011011100|10001011101001
26 000|0010001|000100010011|10010100011111
27 111|0010011|000001100111|10101100010111
28 111|0011110|000000101001|10010001001011
29 000|0010000|000001101111|01100110000001
2a 111|0010011|000001101101|10100111100011
2b 000|0010000|000001100111|01101010010010
2c 000|0010010|000001011000|10100010010011
2d 000|0011111|000101100101|10100111000011
2e 111|0100001|000010010111|00100111111011
BX = 100 Event : 5
00 011|0010000|000011101111|01110110101000
01 011|0100001|000000011100|00100111001100
02 010|0011101|001110101010|01100010010000
03 110|0011111|000000101001|00111000011011
04 000|0010010|000011101010|10100001110011
05 111|0011111|000111111010|00111110010110
06 000|0011101|000001000000|01011110010011
07 111|0010100|001001011101|10110011110101
08 000|1110101|001111000100|11000111100101
09 000|0011110|000111010110|01001101101001
0a 000|0010001|001101101000|10000110001001
0b 000|0010001|001101100000|01010100000101
0c 000|0011110|000111110111|10001100110011
BX = 101 Event : 6
00 011|1110101|000000110110|11001000000110
01 011|0011111|001111001001|10011101010001
02 010|0100001|000101101010|00100101100011
03 001|0011110|001100000110|10001101110011
04 001|0010010|000100001011|10011111011001
05 111|0011111|000000000000|00111011001110
06 000|0011110|001111101010|10010110001100
07 000|0010001|001111100010|01010100010101
08 000|1100111|001001010000|11010110111111
09 111|0100000|000111010110|10110000111001
0a 000|0010000|001000111101|01111111100000
0b 000|0011101|000111100011|01111011111010
0c 000|0010001|001111100101|10010111111111
BX = 110 Event : 7
00 011|0011101|001111011110|01101100101001
01 011|0011110|001010000011|01001110100011
02 001|1110100|001100100011|11010111101110
