BX = 000 Event : 0
0x00 0000000|0101000 0x0028
0x01 0000001|0101000 0x00a8
0x02 0000010|0101000 0x0128
0x03 0000011|0101000 0x01a8
0x04 0000100|0101000 0x0228
0x05 0000101|0101000 0x02a8
0x06 0001000|0101000 0x0428
0x07 0001010|0101000 0x0528
0x08 0001011|0101000 0x05a8
