BX = 000 Event : 1
0x00 0000010|011|1|0101|01010|1 0x009D55
0x01 0000101|100|1|1011|01111|1 0x0166DF
0x02 0001010|011|1|0110|10100|1 0x029DA9
0x03 0001011|101|1|0111|10110|1 0x02EDED
0x04 0001110|010|1|1010|10110|1 0x0396AD
0x05 0001111|010|1|1010|10111|1 0x03D6AF
0x06 0101001|011|1|0110|10100|0 0x0A5DA8
0x07 0110000|011|1|0101|10010|0 0x0C1D64
0x08 0110001|011|1|0101|10010|0 0x0C5D64
0x09 0110100|011|1|0101|01010|0 0x0D1D54
BX = 001 Event : 2
0x00 0000000|101|1|0110|00111|1 0x002D8F
0x01 0000011|011|1|1011|11001|1 0x00DEF3
0x02 0000101|011|1|1010|10111|1 0x015EAF
BX = 010 Event : 3
0x00 0000011|010|1|0110|10111|1 0x00D5AF
BX = 011 Event : 4
0x00 0000001|010|1|1011|00110|1 0x0056CD
0x01 0000010|010|1|1011|00100|1 0x0096C9
0x02 0000011|000|0|0010|10000|1 0x00C0A1
0x03 0000111|000|0|0010|10010|1 0x01C0A5
0x04 0001000|000|0|0001|10100|1 0x020069
0x05 0001010|011|1|0101|10101|1 0x029D6B
0x06 0001101|111|0|0100|10110|1 0x03792D
0x07 0001110|010|1|1001|11011|1 0x039677
BX = 100 Event : 5
0x00 0000000|100|1|0101|00110|1 0x00254D
0x01 0000001|011|1|0100|00111|1 0x005D0F
0x02 0000010|011|1|1000|00111|1 0x009E0F
0x03 0000011|011|1|0101|01011|1 0x00DD57
0x04 0000100|011|1|1000|01100|1 0x011E19
0x05 0001000|101|1|1010|10000|1 0x022EA1
0x06 0001010|011|1|0111|01111|1 0x029DDF
0x07 0001011|011|1|0101|01100|1 0x02DD59
0x08 0001100|011|1|1000|01110|1 0x031E1D
0x09 0010001|110|1|0110|10101|1 0x0475AB
0x0a 0010010|110|1|0110|10101|1 0x04B5AB
0x0b 0011010|100|1|0101|10011|1 0x06A567
0x0c 0011011|100|1|0110|10011|1 0x06E5A7
0x0d 0011100|100|1|0111|10011|1 0x0725E7
0x0e 0100011|000|0|0010|11000|1 0x08C0B1
BX = 101 Event : 6
0x00 0001011|011|1|0111|10101|0 0x02DDEA
BX = 110 Event : 7
0x00 0000010|010|1|1011|00111|1 0x0096CF
0x01 0000110|101|1|0100|01100|1 0x01AD19
0x02 0001000|101|1|0100|01111|1 0x022D1F
0x03 0001001|110|1|0101|01100|1 0x027559
BX = 111 Event : 8
0x00 0000010|011|1|0100|01011|1 0x009D17
0x01 0000111|000|1|1010|11000|1 0x01C6B1
BX = 000 Event : 9
0x00 0000001|110|1|0100|00101|1 0x00750B
0x01 0000101|010|1|0101|10010|1 0x015565
0x02 0001011|010|1|0110|10011|1 0x02D5A7
0x03 0010000|000|0|0010|10010|1 0x0400A5
0x04 0010001|000|0|0001|10100|1 0x044069
0x05 0010011|010|1|0101|10100|1 0x04D569
0x06 0100100|111|0|0100|10110|1 0x09392D
BX = 001 Event : 10
0x00 0000001|110|1|0101|00111|1 0x00754F
0x01 0000010|110|1|0110|01001|1 0x00B593
0x02 0000011|110|1|0110|01001|1 0x00F593
0x03 0010000|100|1|0111|10011|1 0x0425E7
BX = 010 Event : 11
0x00 0010001|011|1|0111|10101|0 0x045DEA
BX = 011 Event : 12
0x00 0000010|011|1|0101|01010|1 0x009D55
0x01 0000101|011|1|0101|01010|1 0x015D55
0x02 0000110|100|1|1011|01111|1 0x01A6DF
0x03 0001011|011|1|0110|10100|1 0x02DDA9
0x04 0010001|010|1|1010|10110|1 0x0456AD
0x05 0010010|010|1|1010|10111|1 0x0496AF
0x06 0101110|011|1|0110|10100|0 0x0B9DA8
0x07 0110101|011|1|0101|10010|0 0x0D5D64
0x08 0110110|011|1|0101|10010|0 0x0D9D64
0x09 0111001|011|1|0101|01010|0 0x0E5D54
BX = 100 Event : 13
0x00 0000101|011|1|0100|01011|1 0x015D17
0x01 0001001|001|1|0110|10100|1 0x024DA9
0x02 0001100|000|1|1010|11000|1 0x0306B1
0x03 0010011|000|1|1010|10111|1 0x04C6AF
0x04 0010100|000|1|1010|10111|1 0x0506AF
BX = 101 Event : 14
0x00 0000100|100|1|0100|10111|1 0x01252F
0x01 0000101|010|1|0110|10111|1 0x0155AF
BX = 110 Event : 15
0x00 0000010|101|1|1011|01000|1 0x00AED1
BX = 111 Event : 16
0x00 0001000|110|1|0110|10101|1 0x0235AB
0x01 0010101|000|0|0010|11000|1 0x0540B1
BX = 000 Event : 17
0x00 0011011|010|1|0101|10011|0 0x06D566
BX = 001 Event : 18
0x00 0000000|100|1|0110|00110|1 0x00258D
0x01 0000001|100|1|0111|00110|1 0x0065CD
0x02 0000011|001|1|0101|00111|1 0x00CD4F
0x03 0000100|011|1|1001|01100|1 0x011E59
0x04 0000101|011|1|1000|01100|1 0x015E19
0x05 0000111|011|1|1000|01101|1 0x01DE1B
0x06 0001011|100|1|0101|01111|1 0x02E55F
0x07 0001100|101|1|0100|10011|1 0x032D27
0x08 0001101|100|1|1010|01110|1 0x03669D
0x09 0001110|100|1|1010|01100|1 0x03A699
0x0a 0010110|010|1|1010|10001|1 0x0596A3
0x0b 0010111|101|1|1010|10111|1 0x05EEAF
0x0c 0011110|100|1|0110|11010|1 0x07A5B5
BX = 010 Event : 19
0x00 0000011|001|1|0101|01000|1 0x00CD51
0x01 0000100|100|1|1011|01010|1 0x0126D5
0x02 0000101|101|1|0110|01010|1 0x016D95
0x03 0000110|100|1|1011|01010|1 0x01A6D5
0x04 0000111|000|1|1000|01011|1 0x01C617
0x05 0001000|000|1|1000|01011|1 0x020617
0x06 0001100|101|1|0100|01110|1 0x032D1D
0x07 0001101|010|1|1001|01111|1 0x03565F
0x08 0001111|101|1|0101|01111|1 0x03ED5F
0x09 0011011|000|0|0000|10100|1 0x06C029
0x0a 0100001|100|1|0101|10110|1 0x08656D
0x0b 1010000|100|1|1001|01001|0 0x142652
BX = 011 Event : 20
0x00 0000000|001|1|1001|01011|1 0x000E57
0x01 0000001|010|1|1000|01011|1 0x005617
0x02 0000011|010|1|1001|01010|1 0x00D655
0x03 0000101|100|1|0111|10010|1 0x0165E5
0x04 0000110|100|1|1000|10101|1 0x01A62B
0x05 0100011|010|1|1001|10010|0 0x08D664
BX = 100 Event : 21
0x00 0000000|000|1|0110|01010|1 0x000595
0x01 0000101|000|1|0110|01010|1 0x014595
0x02 0001101|011|1|0100|10110|1 0x035D2D
0x03 0010010|011|1|0100|10110|1 0x049D2D
0x04 0010100|001|1|1011|11011|1 0x050EF7
0x05 0010101|001|1|1011|11010|1 0x054EF5
0x06 0011001|101|1|0100|11010|1 0x066D35
0x07 0011010|100|1|0111|11010|1 0x06A5F5
BX = 101 Event : 22
0x00 0001000|010|1|1010|10100|1 0x0216A9
0x01 0001100|001|1|1010|10100|1 0x030EA9
0x02 1001011|100|1|1010|01001|0 0x12E692
0x03 1001100|100|1|1010|01001|0 0x132692
0x04 1001101|100|1|1010|01000|0 0x136690
0x05 1001110|100|1|1010|01000|0 0x13A690
BX = 110 Event : 23
0x00 0000001|101|1|0101|01000|1 0x006D51
0x01 0000010|101|1|0101|00111|1 0x00AD4F
0x02 0001010|100|1|1001|01100|1 0x02A659
0x03 0001100|101|1|1000|10110|1 0x032E2D
BX = 111 Event : 24
0x00 0000000|000|1|1011|01000|1 0x0006D1
0x01 0000001|100|1|1010|01010|1 0x006695
0x02 0000010|000|1|0110|01011|1 0x008597
BX = 000 Event : 25
0x00 0000010|001|1|1001|01101|1 0x008E5B
0x01 0000100|001|1|1011|01101|1 0x010EDB
BX = 001 Event : 26
0x00 0000000|110|1|0101|00110|1 0x00354D
0x01 0000001|110|1|0100|00101|1 0x00750B
0x02 0000101|100|1|1010|01000|1 0x016691
BX = 010 Event : 27
0x00 0000001|010|1|0101|01001|1 0x005553
0x01 0000100|110|1|0111|11010|1 0x0135F5
0x02 0000101|110|1|0111|11010|1 0x0175F5
BX = 011 Event : 28
0x00 0000011|011|1|0101|01100|1 0x00DD59
0x01 0000100|100|1|0111|01100|1 0x0125D9
0x02 0010010|101|1|0101|10110|1 0x04AD6D
BX = 100 Event : 29
0x00 0000101|010|1|1010|10101|1 0x0156AB
0x01 0000110|011|1|1011|10101|1 0x019EEB
0x02 0000111|011|1|1011|10111|1 0x01DEEF
0x03 0010001|100|1|1001|10111|1 0x04666F
0x04 0010010|100|1|1001|10111|1 0x04A66F
0x05 0010011|100|1|1001|10111|1 0x04E66F
0x06 0010100|010|1|1000|11000|1 0x051631
0x07 0010101|010|1|1000|11000|1 0x055631
BX = 101 Event : 30
0x00 0000001|011|1|1010|00110|1 0x005E8D
0x01 0000010|011|1|1010|00110|1 0x009E8D
0x02 0000111|100|1|1000|01000|1 0x01E611
0x03 0001000|100|1|1000|01000|1 0x022611
0x04 0001100|011|1|0101|10000|1 0x031D61
0x05 0001101|011|1|0101|10000|1 0x035D61
0x06 0100100|100|1|1010|01000|0 0x092690
BX = 110 Event : 31
0x00 0000010|000|1|1001|01001|1 0x008653
0x01 0000011|000|1|1001|01001|1 0x00C653
0x02 0000100|011|1|0110|01000|1 0x011D91
0x03 0000101|011|1|1010|01000|1 0x015E91
0x04 0000111|011|1|1010|00111|1 0x01DE8F
0x05 0001001|000|1|1001|01001|1 0x024653
0x06 0001100|100|1|0111|01010|1 0x0325D5
0x07 0001110|100|1|0111|01010|1 0x03A5D5
0x08 0001111|100|1|1000|01111|1 0x03E61F
0x09 0010010|101|1|0110|01110|1 0x04AD9D
0x0a 1000010|100|1|1010|01010|0 0x10A694
BX = 111 Event : 32
0x00 0000000|100|1|0110|00110|1 0x00258D
0x01 0000001|100|1|0110|00111|1 0x00658F
0x02 0001011|001|1|1011|10001|1 0x02CEE3
0x03 0010000|010|1|1011|10101|1 0x0416EB
0x04 0010001|011|1|1001|10100|1 0x045E69
BX = 000 Event : 33
0x00 0000000|101|1|0110|00111|1 0x002D8F
0x01 0000001|011|1|1011|01011|1 0x005ED7
0x02 0000010|011|1|1010|01100|1 0x009E99
0x03 0001000|110|1|0110|01111|1 0x02359F
0x04 0001011|110|1|0110|01111|1 0x02F59F
BX = 001 Event : 34
0x00 0000010|101|1|0111|01110|1 0x00ADDD
0x01 0000011|101|1|0110|01101|1 0x00ED9B
BX = 010 Event : 35
0x00 0000010|001|1|1001|00111|1 0x008E4F
0x01 0000110|011|1|0100|10100|1 0x019D29
BX = 011 Event : 36
0x00 0000001|100|1|1010|01010|1 0x006695
0x01 0000011|100|1|1010|01011|1 0x00E697
0x02 0000101|100|1|1001|01000|1 0x016651
0x03 0000111|100|1|1010|01010|1 0x01E695
0x04 0010000|011|1|0111|01111|1 0x041DDF
0x05 0010010|011|1|0111|01111|1 0x049DDF
0x06 0010100|010|1|0100|10111|1 0x05152F
0x07 0010101|100|1|0100|10110|1 0x05652D
0x08 0010110|010|1|0101|11000|1 0x059571
BX = 100 Event : 37
0x00 0000001|001|1|1001|01010|1 0x004E55
0x01 0100010|100|1|1001|10100|0 0x08A668
BX = 101 Event : 38
BX = 110 Event : 39
0x00 0000000|011|1|1010|01100|1 0x001E99
0x01 0000010|000|1|1010|01011|1 0x008697
BX = 111 Event : 40
