BX = 000 Event : 1
00 0000110|000110010111|10000010000000|010 0x0C32F0402
01 1100111|010111001000|10000111000100|000 0xCEB910E20
02 1110010|011111111011|10000100110000|100 0xE4FF70984
BX = 001 Event : 2
00 1110001|001110101000|10000010001100|001 0xE27510461
BX = 010 Event : 3
00 0101001|001000011110|01111101110110|110 0x5243CFBB6
01 1110100|010011100101|10000010100101|100 0xE89CB052C
02 1110110|011011001001|10000010001101|100 0xECD93046C
03 1101010|011011001101|10000011100000|000 0xD4D9B0700
BX = 011 Event : 4
00 0100010|001010000111|01111100111110|110 0x4450EF9F6
01 1100111|011011001110|10000000010100|000 0xCED9D00A0
BX = 100 Event : 5
BX = 101 Event : 6
00 1101110|010011101000|10000110010101|100 0xDC9D10CAC
BX = 110 Event : 7
00 0011000|010110111010|01111111101101|101 0x30B74FF6D
BX = 111 Event : 8
00 0001101|001000101110|10000000110100|101 0x1A45D01A5
01 1110111|001000111011|10000010110101|000 0xEE47705A8
BX = 000 Event : 9
00 0100010|001010000111|01111100111110|110 0x4450EF9F6
01 1100111|011011001110|10000000010100|000 0xCED9D00A0
BX = 001 Event : 10
00 0001111|001100001001|10000010000110|001 0x1E6130431
01 1110110|001100011000|10000100101000|110 0xEC6310946
02 0100100|010000011101|01111111001011|100 0x4883AFE5C
BX = 010 Event : 11
00 1101110|010011101000|10000110010101|100 0xDC9D10CAC
BX = 011 Event : 12
00 0000110|000110010111|10000010000000|010 0x0C32F0402
01 1100111|010111001000|10000111000100|000 0xCEB910E20
02 1110010|011111111011|10000100110000|100 0xE4FF70984
BX = 100 Event : 13
00 0001101|001000101110|10000000110100|101 0x1A45D01A5
01 1110111|001000111011|10000010111100|100 0xEE47705E4
02 1110000|001010100011|10000000011110|010 0xE054700F2
03 1110101|001100011000|10000001100001|001 0xEA6310309
BX = 101 Event : 14
00 0101001|001000011110|01111101110110|110 0x5243CFBB6
01 1110100|010011100101|10000010100101|100 0xE89CB052C
02 1110110|011011001001|10000010001101|100 0xECD93046C
03 1101010|011011001101|10000011100000|000 0xD4D9B0700
BX = 110 Event : 15
00 1110110|001100011000|10000100101000|110 0xEC6310946
01 0100100|010000011101|01111111001011|100 0x4883AFE5C
BX = 111 Event : 16
BX = 000 Event : 17
00 0001011|001100001011|10000000110010|000 0x166170190
BX = 001 Event : 18
00 0000010|000110011010|10000000001010|101 0x043350055
01 0000100|001000110011|01111111110110|100 0x08466FFB4
BX = 010 Event : 19
00 0001101|001110011000|10000000001001|101 0x1A731004D
01 0001011|001110011001|10000000101111|001 0x167330179
02 0011010|010000100000|01111111000100|101 0x34840FE25
BX = 011 Event : 20
00 1111010|001100010101|10000100001111|101 0xF462B087D
BX = 100 Event : 21
BX = 101 Event : 22
00 0000010|000111110001|10000000011100|100 0x043E300E4
01 0101001|001000011110|01111110100001|101 0x5243CFD0D
02 0100010|010000011110|10000000101101|101 0x4483D016D
03 1101111|010011100111|10000001011111|001 0xDE9CF02F9
04 1101111|011111111011|10000011110100|000 0xDEFF707A0
BX = 110 Event : 23
BX = 111 Event : 24
BX = 000 Event : 25
00 0000100|000111110000|10000001110100|101 0x083E103A5
01 0101001|001000011110|01111111110001|110 0x5243CFF8E
02 0001011|001010010100|10000010011101|001 0x1652904E9
03 0000101|001010011000|10000011011011|101 0x0A53106DD
BX = 001 Event : 26
00 1101010|011011001101|10000011111110|100 0xD4D9B07F4
BX = 010 Event : 27
00 1110101|001000111100|10000001011011|100 0xEA47902DC
01 0100111|001010000100|01111111110010|100 0x4E508FF94
02 0100001|011010111101|01111111101000|100 0x42D7AFF44
BX = 011 Event : 28
00 0000111|011011000101|10000010101010|000 0x0ED8B0550
BX = 100 Event : 29
00 0000100|000101001100|10000010001100|001 0x082990461
01 0001001|001000110001|10000001111011|010 0x1246303DA
02 1111001|001000111010|10000001011101|010 0xF247502EA
03 1101100|011111111100|10000000000111|001 0xD8FF90039
BX = 101 Event : 30
00 0001001|000110010100|01111111011110|110 0x12328FEF6
BX = 110 Event : 31
BX = 111 Event : 32
00 1111000|001010100000|10000100011110|010 0xF054108F2
01 1101000|010011101001|10000101010101|001 0xD09D30AA9
02 1110000|010111000101|10000101001001|001 0xE0B8B0A49
BX = 000 Event : 33
00 1111100|010000101001|10000100001010|000 0xF88530850
BX = 001 Event : 34
00 0000010|000110011010|01111111111101|110 0x04334FFEE
BX = 010 Event : 35
00 1100110|010111001000|10000100010100|100 0xCCB9108A4
BX = 011 Event : 36
00 0001001|000101000111|10000000011000|001 0x1228F00C1
01 0011110|000110000001|01111111101111|101 0x3C302FF7D
BX = 100 Event : 37
00 0001101|000110010000|10000001110100|101 0x1A32103A5
01 0001010|000110010100|10000001011100|010 0x1432902E2
BX = 101 Event : 38
00 0010001|001010010001|10000001010001|101 0x22523028D
01 0101011|010000011011|01111111001001|101 0x56836FE4D
BX = 110 Event : 39
00 1110101|001000111100|10000000011011|100 0xEA47900DC
01 0011010|001110010000|10000000110101|110 0x3472101AE
02 0000000|011111110111|10000011011100|100 0x00FEF06E4
BX = 111 Event : 40
00 0001010|000110010100|10000001011100|011 0x1432902E3
01 0000010|001100010000|10000010110011|000 0x046210598
02 0001000|001110011010|01111111101101|101 0x10734FF6D
03 0000111|010011100000|10000001111001|000 0x0E9C103C8
04 1110100|010011100101|10000100001000|101 0xE89CB0845
BX = 000 Event : 41
00 0000110|001000110010|10000000010100|110 0x0C46500A6
BX = 001 Event : 42
00 0011110|000111011000|10000000011011|000 0x3C3B100D8
BX = 010 Event : 43
00 0101011|010011010110|01111111010010|100 0x569ACFE94
01 1100101|010011101010|10000000101111|001 0xCA9D50179
BX = 011 Event : 44
00 0001101|001000101110|10000010010101|001 0x1A45D04A9
BX = 100 Event : 45
00 0101011|000100101000|01111111110001|110 0x56250FF8E
01 1111000|001110100100|10000100110001|110 0xF0749098E
02 1101111|010011100111|10000010110111|001 0xDE9CF05B9
03 0001110|010110111100|10000001011100|001 0x1CB7902E1
BX = 101 Event : 46
BX = 110 Event : 47
00 0010110|001000101001|10000001010001|100 0x2C453028C
01 0000111|010000100110|10000000110101|001 0x0E84D01A9
02 1101111|010000101101|10000001110010|001 0xDE85B0391
03 1100111|011111111110|10000000110101|100 0xCEFFD01AC
BX = 111 Event : 48
00 1100101|010000101111|10000011111010|001 0xCA85F07D1
BX = 000 Event : 49
00 0011101|010011011010|10000000011111|000 0x3A9B500F8
01 1111101|010111000001|10000001101001|000 0xFAB830348
02 1111011|010111000010|10000001111100|000 0xF6B8503E0
03 0010011|011111110001|01111111111011|100 0x26FE2FFDC
BX = 001 Event : 50
00 0000101|010000100110|10000001011000|001 0x0A84D02C1
BX = 010 Event : 51
00 1110000|001110101000|10000000001011|100 0xE0751005C
01 0000101|010011100001|10000010011100|100 0x0A9C304E4
02 0000000|010011100010|10000010001110|000 0x009C50470
BX = 011 Event : 52
00 0000010|001000110101|10000001100101|100 0x0446B032C
01 1110111|001000111011|10000010111111|110 0xEE47705FE
02 1111000|001110100100|10000011110010|001 0xF07490791
BX = 100 Event : 53
00 0000100|000101001100|10000010001100|001 0x082990461
01 1101100|011111111100|10000000000111|001 0xD8FF90039
BX = 101 Event : 54
00 0000100|000110011001|10000000111100|110 0x0833301E6
01 1110100|010111000100|10000011101011|001 0xE8B890759
BX = 110 Event : 55
BX = 111 Event : 56
00 0000100|000101001100|10000010010011|110 0x08299049E
01 0011010|011111101111|10000000101011|000 0x34FDF0158
BX = 000 Event : 57
00 1111100|010000101001|10000100001010|000 0xF88530850
BX = 001 Event : 58
00 0101111|001011110110|01111110001101|101 0x5E5ECFC6D
01 1110001|011011001011|10000000010000|000 0xE2D970080
BX = 010 Event : 59
00 1100110|010111001000|10000100010100|100 0xCCB9108A4
BX = 011 Event : 60
BX = 100 Event : 61
00 0000000|001000110110|10000010000011|011 0x0046D041B
01 1100101|010011101010|10000010000010|100 0xCA9D50414
02 1111011|011011001000|10000010111110|000 0xF6D9105F0
BX = 101 Event : 62
00 1111111|010000101000|10000000111001|100 0xFE85101CC
