BX = 000 Event : 1
0x00 0000001|001|10|1010111011 0x009ABB
0x01 0000010|000|00|0111000100 0x0101C4
0x02 0001011|001|11|1011001110 0x059ECE
0x03 0001101|000|00|1011001111 0x0682CF
0x04 0011001|010|00|1011001110 0x0CA2CE
0x05 0011100|010|00|1010010000 0x0E2290
0x06 0100001|100|00|1100110001 0x10C331
0x07 0100110|100|00|1101001011 0x13434B
0x08 0101110|000|00|1100001110 0x17030E
0x09 0110101|010|11|1000101110 0x1AAE2E
0x0a 0110110|010|11|1010101110 0x1B2EAE
0x0b 0111001|011|10|1000110000 0x1CBA30
BX = 001 Event : 2
0x00 0000010|010|00|1011010000 0x0122D0
0x01 0001001|010|00|1001101100 0x04A26C
0x02 0001010|100|00|1011101101 0x0542ED
0x03 0010001|001|01|1101101011 0x08976B
0x04 0010110|001|10|1100110001 0x0B1B31
0x05 0100011|001|01|1100000000 0x119700
0x06 0100100|010|01|1010001100 0x12268C
0x07 0100101|100|01|1100001100 0x12C70C
0x08 0100110|000|01|1100001100 0x13070C
0x09 0101000|010|01|1000001110 0x14260E
0x0a 0101001|000|10|1000001111 0x148A0F
0x0b 0101010|100|01|1000010010 0x154612
0x0c 0101110|011|00|1000100000 0x173220
0x0d 0110000|010|11|1000100011 0x182E23
0x0e 0110001|001|11|1000101100 0x189E2C
0x0f 0110011|100|01|1000101110 0x19C62E
BX = 010 Event : 3
0x00 0000000|001|01|1010101111 0x0016AF
0x01 0000001|100|00|1010111100 0x00C2BC
0x02 0001000|010|11|1101101011 0x042F6B
0x03 0001010|100|01|1001110011 0x054673
0x04 0001011|000|00|0001110111 0x058077
0x05 0010010|100|01|1001110011 0x094673
0x06 0100101|011|10|1000110000 0x12BA30
BX = 011 Event : 4
0x00 0010110|001|10|0110000000 0x0B1980
0x01 0010111|100|00|1010100000 0x0BC2A0
0x02 0011000|100|00|1100110000 0x0C4330
0x03 0011001|000|01|1100110000 0x0C8730
0x04 0011100|100|01|1100111101 0x0E473D
0x05 0100001|100|01|1000000000 0x10C600
0x06 0100010|001|01|1000000010 0x111602
0x07 0101011|011|01|1000101110 0x15B62E
0x08 0101100|010|01|1010101110 0x1626AE
BX = 100 Event : 5
0x00 0000001|011|01|1001001110 0x00B64E
0x01 0010000|001|11|0111110100 0x081DF4
0x02 0010001|001|10|0101110101 0x089975
0x03 0010010|001|10|0101110101 0x091975
0x04 0100000|000|11|1110111101 0x100FBD
0x05 0101100|001|01|1100001100 0x16170C
0x06 0101101|100|00|1010001101 0x16C28D
BX = 101 Event : 6
0x00 0001110|100|10|0111110100 0x0749F4
0x01 0001111|001|10|1100111101 0x079B3D
0x02 0010011|100|00|1100001011 0x09C30B
0x03 0010100|000|00|1010001100 0x0A028C
BX = 110 Event : 7
0x00 0000000|000|00|1010111011 0x0002BB
0x01 0001001|010|00|1011010000 0x04A2D0
0x02 0011001|001|10|1100110001 0x0C9B31
0x03 0011010|001|00|1110111010 0x0D13BA
0x04 0100100|010|10|1000001110 0x122A0E
0x05 0101001|010|11|1000100010 0x14AE22
BX = 111 Event : 8
0x00 0010000|001|00|0001110111 0x081077
0x01 0010011|000|01|1101011010 0x09875A
0x02 0010101|000|01|1100011101 0x0A871D
0x03 0010110|000|01|1010011110 0x0B069E
0x04 0010111|011|01|1010100000 0x0BB6A0
0x05 0011100|001|10|1110111011 0x0E1BBB
0x06 0011111|010|10|1110111110 0x0FABBE
0x07 0100111|100|00|0010000000 0x13C080
0x08 0101111|100|00|1100001100 0x17C30C
0x09 0110000|010|00|1100001100 0x18230C
BX = 000 Event : 9
0x00 0010101|001|10|0110000000 0x0A9980
0x01 0011011|100|01|1100111101 0x0DC73D
0x02 0011101|010|00|1101000000 0x0EA340
0x03 0100101|100|01|1000000000 0x12C600
0x04 0100110|001|01|1000000010 0x131602
0x05 0110000|010|10|1000101101 0x182A2D
0x06 0110010|010|10|1000101110 0x192A2E
0x07 0110011|010|01|1010101110 0x19A6AE
BX = 001 Event : 10
0x00 0001010|010|00|1011011110 0x0522DE
0x01 0001011|010|11|1101100000 0x05AF60
0x02 0001100|100|10|1101100000 0x064B60
0x03 0011010|100|01|1001110011 0x0D4673
0x04 0011011|000|10|0101110101 0x0D8975
0x05 0100100|001|00|1011011111 0x1212DF
0x06 0100110|100|00|1001101100 0x13426C
0x07 0101100|010|10|1110111011 0x162BBB
BX = 010 Event : 11
0x00 0001111|100|10|0111110100 0x07C9F4
0x01 0010001|001|10|1100111101 0x089B3D
0x02 0010011|100|00|1100001011 0x09C30B
0x03 0010100|000|00|1010001100 0x0A028C
0x04 0010101|100|11|1000001110 0x0ACE0E
0x05 0100100|000|00|1010101110 0x1202AE
0x06 0100110|010|10|1000110000 0x132A30
BX = 011 Event : 12
0x00 0000001|001|10|1010111011 0x009ABB
0x01 0000100|001|11|1011001110 0x021ECE
0x02 0000110|000|00|1011001111 0x0302CF
0x03 0010010|010|00|1011001110 0x0922CE
0x04 0010101|010|00|1010010000 0x0AA290
0x05 0011010|100|00|1100110001 0x0D4331
0x06 0011110|000|01|1110111010 0x0F07BA
0x07 0100001|100|00|1101001011 0x10C34B
0x08 0101001|000|00|1100001110 0x14830E
0x09 0101111|010|11|1000101110 0x17AE2E
0x0a 0110000|010|11|1010101110 0x182EAE
0x0b 0110011|011|10|1000110000 0x19BA30
BX = 100 Event : 13
0x00 0000001|010|00|1101011101 0x00A35D
0x01 0000011|010|00|1001011110 0x01A25E
0x02 0001010|001|00|0001110111 0x051077
0x03 0001101|100|01|1101011010 0x06C75A
0x04 0001110|010|00|1101011101 0x07235D
0x05 0001111|001|00|1011100000 0x0792E0
0x06 0010000|000|01|1100011101 0x08071D
0x07 0010001|100|01|1010011110 0x08C69E
0x08 0010110|001|10|1110111011 0x0B1BBB
0x09 0011001|010|10|1110111110 0x0CABBE
0x0a 0100110|100|00|1100001100 0x13430C
0x0b 0100111|010|00|1100001100 0x13A30C
BX = 101 Event : 14
0x00 0000000|001|01|1010101111 0x0016AF
