BX = 000 Event : 1
0x00 1010011|111100100011|10000011010111|010 0xA7E4706BA
0x01 1010010|111100100011|10000001001011|001 0xA5E470259
0x02 1011010|111101110101|01111111111101|000 0xB5EEAFFE8
0x03 0010011|000110001011|10001001010011|000 0x263171298
0x04 0010100|000110001101|10000000011101|101 0x2831B00ED
0x05 0010101|001010001101|10011100001101|011 0x2A51B386B
0x06 0000000|001100010001|10001010010001|100 0x00623148C
0x07 1111110|001100010011|10001010101010|100 0xFC6271554
0x08 1110101|001100011000|10001010000000|101 0xEA6311405
0x09 0010101|001110010001|10011100101100|100 0x2A7233964
0x0a 0001100|001110010110|10011111101000|010 0x1872D3F42
0x0b 1111011|010000101010|10010000001011|000 0xF68552058
0x0c 1101000|010000101111|10001110100111|010 0xD085F1D3A
0x0d 1110100|010011100101|10011011101011|100 0xE89CB375C
0x0e 0001110|010110111101|10010000011010|000 0x1CB7B20D0
0x0f 0001110|010110111110|10000111010111|100 0x1CB7D0EBC
0x10 1101010|010111001000|10000011111110|000 0xD4B9107F0
0x11 0100101|011010111100|10011010010111|001 0x4AD7934B9
0x12 0000110|011111110101|10010100111011|000 0x0CFEB29D8
0x13 0000100|011111110110|10010100110011|000 0x08FED2998
0x14 1110010|011111111011|10011010101001|000 0xE4FF73548
0x15 0000100|000101111100|10000000001001|000 0x082F90048
0x16 1111011|010000011010|10000000011000|100 0xF683500C4
0x17 1100111|011010111111|10000111010101|000 0xCED7F0EA8
0x18 1110111|100101000110|10000011110000|100 0xEF28D0784
0x19 1111010|100101000110|10000011100101|000 0xF528D0728
0x1a 0100111|110110010001|01111110100010|110 0x4FB22FD16
0x1b 1110001|110111010110|10000010111101|000 0xE3BAD05E8
0x1c 1110110|111100001010|10010111010111|101 0xEDE152EBD
0x1d 1110110|111100011001|10010111100100|000 0xEDE332F20
0x1e 1110110|111100011011|10010111100111|000 0xEDE372F38
0x1f 1111101|111101100110|10011001011110|100 0xFBECD32F4
0x20 1110110|000000101100|10010110101111|000 0xEC0592D78
0x21 1111110|000010010011|10011000010110|001 0xFC12730B1
0x22 0000011|000010110110|10000000000100|100 0x0616D0024
0x23 1111011|000010110101|10000000000100|000 0xF616B0020
0x24 1101010|100000000010|10001101101110|100 0xD50051B74
0x25 0010011|100000001110|10001111100011|000 0x2701D1F18
0x26 1110011|100100110101|10010101000110|100 0xE726B2A34
0x27 0011000|100100111111|10000111100101|000 0x3127F0F28
0x28 0110001|101001001100|10000011001000|001 0x634990641
0x29 1101100|101100011000|10010010111000|100 0xD963125C4
0x2a 0000110|101100011111|10010100100010|101 0x0D63F2915
0x2b 0011011|101100100101|10001111011100|100 0x3764B1EE4
0x2c 0100101|101111100010|10001100111011|101 0x4B7C519DD
0x2d 0101010|110100001000|10010101110001|001 0x55A112B89
0x2e 1101110|110101011101|10011001000110|011 0xDDABB3233
0x2f 1110011|110101011111|10011000100111|000 0xE7ABF3138
0x30 1111100|110111000110|10000010100010|101 0xF9B8D0515
0x31 0010011|111001110101|10001001111011|001 0x27CEB13D9
