BX = 000 Event : 1
BX = 001 Event : 2
00 000|010111|1100|000|11
01 111|011001|1100|101|11
02 000|100000|0110|110|11
03 111|100010|1110|000|11
BX = 010 Event : 3
00 101|000011|0001|111|11
01 000|001001|1110|110|11
BX = 011 Event : 4
BX = 100 Event : 5
00 100|000000|0010|110|11
01 101|000100|1000|110|11
BX = 101 Event : 6
00 011|000100|1000|010|11
01 111|001010|0011|011|11
02 000|010001|1010|110|11
BX = 110 Event : 7
00 011|000000|0000|000|11
01 101|000101|1111|000|11
02 001|001010|0011|011|11
BX = 111 Event : 8
00 011|000010|0110|100|11
01 011|000011|1000|001|11
02 010|000111|0100|000|11
03 101|001001|1100|000|11
04 010|001010|0011|100|11
05 000|010000|0110|100|11
06 000|010001|1000|100|11
07 000|010011|1110|010|11
08 000|011011|0000|110|11
09 111|011110|1000|001|11
BX = 000 Event : 9
00 001|000111|1011|000|11
BX = 001 Event : 10
00 110|010010|0110|110|11
01 111|100111|1101|010|11
BX = 010 Event : 11
00 101|000101|1000|101|11
01 001|001101|1000|010|11
02 001|010000|1110|110|11
03 000|010010|1001|010|11
04 111|010100|1111|101|11
05 111|010110|0001|101|11
06 111|011010|1111|000|11
BX = 011 Event : 12
00 111|000111|1100|011|11
BX = 100 Event : 13
00 110|010010|1010|101|11
BX = 101 Event : 14
BX = 110 Event : 15
00 010|000011|1000|001|11
BX = 111 Event : 16
00 011|001000|0111|010|11
01 010|010000|0110|011|11
02 010|010011|1011|011|11
03 000|101100|1101|101|11
BX = 000 Event : 17
00 011|000101|0011|010|11
01 100|000111|0111|101|11
02 101|001001|0101|011|11
03 101|001010|0100|110|11
04 110|001111|0010|010|11
05 000|011101|1011|111|11
BX = 001 Event : 18
00 010|000110|0111|011|11
01 001|001101|0100|001|11
02 000|010111|1001|010|11
BX = 010 Event : 19
00 011|000100|1100|101|11
01 010|000110|0110|010|11
02 010|001001|1110|000|11
03 010|001101|0010|100|11
04 110|001111|0110|001|11
BX = 011 Event : 20
00 100|001000|0010|101|11
BX = 100 Event : 21
00 011|000010|0011|100|11
01 000|010000|1001|100|11
02 000|010010|1011|101|11
03 000|010011|1011|101|11
BX = 101 Event : 22
00 111|001000|0100|101|11
01 111|001010|0101|001|11
BX = 110 Event : 23
00 010|000111|1111|111|11
01 010|001000|0001|111|11
02 000|010000|0001|111|11
BX = 111 Event : 24
00 000|001011|1001|100|11
BX = 000 Event : 25
